rate ,State,site,index,YieldCS,DrainCS,LeachCS,FlowCS,YieldCofCS,DrainCofCS,LeachCofCS,FlowCofCS,YieldCC,DrainCC,LeachCC,FlowCC
0,Wisconsin,Masarik,a,109.0965455,345.9942727,3,0.869363636,149.2531667,286.5498333,4.1,1.242333333,29.4335,410.2440833,0.975,0.237666667
56,Wisconsin,Masarik,a,129.8143636,343.5997273,4.727272727,1.333818182,187.3868333,279.969,5.1,1.600666667,90.50383333,427.0131667,1.608333333,0.3705
112,Wisconsin,Masarik,a,133.1658182,340.2486364,11.88181818,3.110090909,193.1121667,278.8158333,7.55,2.4515,147.54475,422.21875,2.875,0.661166667
168,Wisconsin,Masarik,a,133.3696364,338.8028182,21.87272727,5.728909091,193.1121667,278.7095,10.08333333,3.3695,166.7311667,412.93025,20.08333333,5.05525
224,Wisconsin,Masarik,a,133.3696364,336.8834545,30.84545455,8.163545455,193.1121667,278.7775,12.3,4.183666667,166.7311667,410.952,66.50833333,16.3585
250,Wisconsin,Masarik,a,133.3696364,336.0037273,35.05454545,9.335,193.1121667,278.7723333,13.36666667,4.606333333,166.7311667,410.0449167,87.76666667,21.56908333
300,Wisconsin,Masarik,a,133.3696364,333.5169091,43.5,12.53866667,193.1121667,278.709,16.81666667,6.0155,166.7311667,406.8945,127.3666667,31.47483333
0,Iowa,Gilmore,b,71.74745455,311.5685455,3.890909091,1.190874617,117.0214,250.4622,2.46,0.957433975,66.75736364,345.2816364,2.790909091,0.792665261
56,Iowa,Gilmore,b,78.77245455,303.4252727,17.43636364,5.618066324,121.1458,261.4808,11.52,4.499440158,124.4431818,368.9564545,12.9,3.500368827
112,Iowa,Gilmore,b,78.77245455,301.6410909,39.56363636,12.97524553,121.1458,261.7138,27.62,10.82853772,124.4431818,360.5991818,43.35454545,12.07787761
168,Iowa,Gilmore,b,78.77245455,301.5107273,37.70909091,12.23744402,121.1458,261.8584,22.86,9.02177952,124.4431818,358.9695455,80.66363636,22.56386172
224,Iowa,Gilmore,b,78.77245455,301.4243636,50.78181818,16.515057,121.1458,261.9778,31.14,12.28867021,124.4431818,358.9426364,117.9181818,32.99329256
250,Iowa,Gilmore,b,78.77245455,301.4369091,57.2,18.62530383,121.1458,262.0118,35.28,13.9384878,124.4431818,358.8891818,135.4454545,37.90332899
300,Iowa,Gilmore,b,78.77245455,301.4604545,70.56363636,23.02700153,121.1458,262.054,44.26,17.49214752,124.4431818,358.963,169.2363636,47.34453532
0,Minnesota,Huggins,c,75.50863636,114.1781818,1.390909091,1.33709078,92.218,108.2885,1.283333333,1.419426928,46.2661875,127.0730625,0.81875,0.713479464
56,Minnesota,Huggins,c,106.6284545,110.9013636,1.881818182,1.872555532,149.0858333,91.49333333,1.6,2.024409286,109.5020625,132.817875,1.40625,1.101582294
112,Minnesota,Huggins,c,116.4272727,105.3765455,6.690909091,7.035260323,166.952,83.66716667,5.733333333,7.504147149,158.20675,125.0744375,4.41875,3.735316517
168,Minnesota,Huggins,c,116.4774545,105.1596364,12.19090909,10.57261448,166.952,85.7035,7.366666667,7.590781513,162.2289375,120.7098125,36.45625,29.4894834
224,Minnesota,Huggins,c,116.5121818,104.3476364,19.39090909,16.78873728,166.952,85.66933333,11.66666667,11.90360999,162.2289375,119.200375,82.46875,66.92755316
250,Minnesota,Huggins,c,116.5121818,104.0906364,23.88181818,20.50746758,166.952,85.64666667,14.9,14.7752479,162.2289375,119.0714375,104.6875,84.94167923
300,Minnesota,Huggins,c,116.5121818,103.7176364,33.77272727,30.44798594,166.952,85.6215,21.78333333,21.05911704,162.2289375,119.0690625,147.075,119.2569344
0,Minnesota,Randall,d,80.24327273,243.0736364,15.40909091,6.104498936,122.8602,135.6138,6.22,4.371474002,43.45318182,228.9117273,10.22727273,4.592637954
56,Minnesota,Randall,d,83.43454545,243.3045455,30.31818182,12.52616223,129.5928,132.991,14.1,9.820727759,104.3977273,260.4769091,15.70909091,6.326796204
112,Minnesota,Randall,d,83.72427273,242.4510909,51.62727273,21.49919811,129.5928,132.638,25.92,18.10918808,122.7529091,256.4943636,38.56363636,15.51750725
168,Minnesota,Randall,d,83.93818182,241.2265455,72.91818182,30.36696034,129.5928,131.8574,36.72,25.71968814,123.9786364,255.5947273,80.90909091,32.89450017
224,Minnesota,Randall,d,84.10227273,239.9692727,94.70909091,39.54472078,129.5928,131.3418,47.66,33.47389697,124.6664545,255.0371818,124.4636364,50.80573431
250,Minnesota,Randall,d,84.10227273,239.6280909,104.9636364,43.84715328,129.5928,131.1806,52.8,37.14953499,124.6664545,254.791,144.9545455,59.24319435
300,Minnesota,Randall,d,84.10227273,210.6217,121.32,52.22774224,129.5928,131.0324,62.82,44.3169006,124.6664545,254.1864545,184.4363636,75.55477555
0,Minnesota,Randall&Iragavarapu,e,65.62009091,213.802,3.590909091,2.165523613,89.86133333,198.913,3.8,2.155293429,54.6006,248.6561,3.48,1.8075
56,Minnesota,Randall&Iragavarapu,e,95.80927273,209.6759091,4.290909091,2.689545455,145.1831667,173.3596667,4.433333333,2.865666667,108.8497,249.3744,5.28,2.477
112,Minnesota,Randall&Iragavarapu,e,107.6954545,205.7803636,6.463636364,3.911636364,166.9416667,166.8375,6.8,4.3335,144.5162,237.6897,11.22,5.1851
168,Minnesota,Randall&Iragavarapu,e,107.9317273,202.1700909,14.11818182,8.198,167.3995,166.7701667,14.55,9.082333333,144.5162,234.3476,33,14.9228
224,Minnesota,Randall&Iragavarapu,e,108.1130909,201.6033636,23.9,13.50181818,167.8265,166.7356667,24.25,15.0165,144.5162,234.1983,56.26,25.2631
250,Minnesota,Randall&Iragavarapu,e,108.1130909,201.6009091,28.81818182,16.09009091,167.8265,166.75,29,17.88333333,144.5162,234.0341,67.12,30.1216
300,Minnesota,Randall&Iragavarapu,e,108.1130909,201.4886364,38.23636364,20.6514,167.8265,166.7555,38.05,23.36483333,144.5162,233.9087,88.37,39.6679
0,Michigan,Gold,f,45.22281818,371.4323636,5.3,1.414818,69.3606,310.3558,3.36,1.0454,23.10944444,375.9038333,2.816666667,0.736916667
56,Michigan,Gold,f,75.03636364,374.3288182,7.436363636,1.956818,127.4466,297.4288,4.22,1.3522,85.88111111,399.5019167,6.591666667,1.604583333
112,Michigan,Gold,f,85.245,369.4634545,12.97272727,3.358364,148.01,290.7748,6.24,2.0368,119.9015556,391.5879167,19.70833333,5.06025
168,Michigan,Gold,f,85.245,366.6605455,22.68181818,5.782273,148.01,290.6916,10.96,3.5858,123.6484444,388.1865,43.075,11.12
224,Michigan,Gold,f,85.245,364.6075455,32.06363636,8.137,148.01,290.0802,15.36,5.0388,123.6484444,386.2395,66.51666667,17.2085
250,Michigan,Gold,f,85.245,364.1598182,36.39090909,9.227273,148.01,289.9388,17.44,5.7396,123.6484444,385.8689167,77.425,20.02708333
300,Michigan,Gold,f,85.245,363.2868182,44.8,11.849,148.01,289.6148,21.7,7.1904,123.6484444,385.1168333,98.4,25.48433333
0,Illinois,Gentry,g,107.8784545,345.0145455,49.34545455,15.72172727,166.714,239.3374,50.06,20.8356,68.24754545,458.4299091,5.009090909,1.211727273
56,Illinois,Gentry,g,107.8784545,317.5164545,66.75454545,21.88136364,166.714,237.1476,61.6,25.6924,120.0009091,440.6643636,20.46363636,4.556909091
112,Illinois,Gentry,g,107.9207273,313.9741818,87.23636364,28.63327273,166.7286,237.1596,76.14,31.5764,128.0208182,421.9033636,68.1,15.86890909
168,Illinois,Gentry,g,108.0175455,312.0943636,109.0272727,35.83018182,166.7326,237.2568,91.94,37.9508,128.0208182,417.1598182,113.7272727,27.21863636
224,Illinois,Gentry,g,108.0175455,311.328,131.3909091,43.11136364,166.7328,237.2422,107.82,44.353,128.0208182,416.0744545,159.4909091,38.56518182
250,Illinois,Gentry,g,108.0175455,311.0337273,141.8363636,46.52181818,166.733,237.246,115.26,47.35,128.0208182,416.012,181.0727273,43.85972727
300,Illinois,Gentry,g,108.0175455,310.5244545,162.1272727,53.14527273,166.7334,237.2502,129.62,53.1526,128.0208182,415.1313636,222.8,54.21781818
0,Indiana,Hofmann,h,100.3680909,304.4763636,55.29090909,17.82000207,148.5418,297.8994,51.4,17.60879803,33.77841667,438.2003333,3.35,0.764545219
56,Indiana,Hofmann,h,100.3328182,300.4891818,72.16363636,24.61931528,148.3994,297.744,62.16,21.54318899,106.7838333,487.5573333,7.133333333,1.424147316
