state,site,index,nrate,sys_trt,yield,drain,leach,flow,yield_cof,drain_cof,leach_cof,flow_cof
wisconsin,masarik,a,0,cs,109.0965455,345.9942727,3,0.869363636,149.2531667,286.5498333,4.1,1.242333333
wisconsin,masarik,a,56,cs,129.8143636,343.5997273,4.727272727,1.333818182,187.3868333,279.969,5.1,1.600666667
wisconsin,masarik,a,112,cs,133.1658182,340.2486364,11.88181818,3.110090909,193.1121667,278.8158333,7.55,2.4515
wisconsin,masarik,a,168,cs,133.3696364,338.8028182,21.87272727,5.728909091,193.1121667,278.7095,10.08333333,3.3695
wisconsin,masarik,a,224,cs,133.3696364,336.8834545,30.84545455,8.163545455,193.1121667,278.7775,12.3,4.183666667
wisconsin,masarik,a,250,cs,133.3696364,336.0037273,35.05454545,9.335,193.1121667,278.7723333,13.36666667,4.606333333
wisconsin,masarik,a,300,cs,133.3696364,333.5169091,43.5,12.53866667,193.1121667,278.709,16.81666667,6.0155
iowa,gilmore,b,0,cs,71.74745455,311.5685455,3.890909091,1.190874617,117.0214,250.4622,2.46,0.957433975
iowa,gilmore,b,56,cs,78.77245455,303.4252727,17.43636364,5.618066324,121.1458,261.4808,11.52,4.499440158
iowa,gilmore,b,112,cs,78.77245455,301.6410909,39.56363636,12.97524553,121.1458,261.7138,27.62,10.82853772
iowa,gilmore,b,168,cs,78.77245455,301.5107273,37.70909091,12.23744402,121.1458,261.8584,22.86,9.02177952
iowa,gilmore,b,224,cs,78.77245455,301.4243636,50.78181818,16.515057,121.1458,261.9778,31.14,12.28867021
iowa,gilmore,b,250,cs,78.77245455,301.4369091,57.2,18.62530383,121.1458,262.0118,35.28,13.9384878
iowa,gilmore,b,300,cs,78.77245455,301.4604545,70.56363636,23.02700153,121.1458,262.054,44.26,17.49214752
minnesota,huggins,c,0,cs,75.50863636,114.1781818,1.390909091,1.33709078,92.218,108.2885,1.283333333,1.419426928
minnesota,huggins,c,56,cs,106.6284545,110.9013636,1.881818182,1.872555532,149.0858333,91.49333333,1.6,2.024409286
minnesota,huggins,c,112,cs,116.4272727,105.3765455,6.690909091,7.035260323,166.952,83.66716667,5.733333333,7.504147149
minnesota,huggins,c,168,cs,116.4774545,105.1596364,12.19090909,10.57261448,166.952,85.7035,7.366666667,7.590781513
minnesota,huggins,c,224,cs,116.5121818,104.3476364,19.39090909,16.78873728,166.952,85.66933333,11.66666667,11.90360999
minnesota,huggins,c,250,cs,116.5121818,104.0906364,23.88181818,20.50746758,166.952,85.64666667,14.9,14.7752479
minnesota,huggins,c,300,cs,116.5121818,103.7176364,33.77272727,30.44798594,166.952,85.6215,21.78333333,21.05911704
minnesota,randall,d,0,cs,80.24327273,243.0736364,15.40909091,6.104498936,122.8602,135.6138,6.22,4.371474002
minnesota,randall,d,56,cs,83.43454545,243.3045455,30.31818182,12.52616223,129.5928,132.991,14.1,9.820727759
minnesota,randall,d,112,cs,83.72427273,242.4510909,51.62727273,21.49919811,129.5928,132.638,25.92,18.10918808
minnesota,randall,d,168,cs,83.93818182,241.2265455,72.91818182,30.36696034,129.5928,131.8574,36.72,25.71968814
minnesota,randall,d,224,cs,84.10227273,239.9692727,94.70909091,39.54472078,129.5928,131.3418,47.66,33.47389697
minnesota,randall,d,250,cs,84.10227273,239.6280909,104.9636364,43.84715328,129.5928,131.1806,52.8,37.14953499
minnesota,randall,d,300,cs,84.10227273,210.6217,121.32,52.22774224,129.5928,131.0324,62.82,44.3169006
minnesota,randall&iragavarapu,e,0,cs,65.62009091,213.802,3.590909091,2.165523613,89.86133333,198.913,3.8,2.155293429
minnesota,randall&iragavarapu,e,56,cs,95.80927273,209.6759091,4.290909091,2.689545455,145.1831667,173.3596667,4.433333333,2.865666667
minnesota,randall&iragavarapu,e,112,cs,107.6954545,205.7803636,6.463636364,3.911636364,166.9416667,166.8375,6.8,4.3335
minnesota,randall&iragavarapu,e,168,cs,107.9317273,202.1700909,14.11818182,8.198,167.3995,166.7701667,14.55,9.082333333
minnesota,randall&iragavarapu,e,224,cs,108.1130909,201.6033636,23.9,13.50181818,167.8265,166.7356667,24.25,15.0165
minnesota,randall&iragavarapu,e,250,cs,108.1130909,201.6009091,28.81818182,16.09009091,167.8265,166.75,29,17.88333333
minnesota,randall&iragavarapu,e,300,cs,108.1130909,201.4886364,38.23636364,20.6514,167.8265,166.7555,38.05,23.36483333
michigan,gold,f,0,cs,45.22281818,371.4323636,5.3,1.414818,69.3606,310.3558,3.36,1.0454
michigan,gold,f,56,cs,75.03636364,374.3288182,7.436363636,1.956818,127.4466,297.4288,4.22,1.3522
michigan,gold,f,112,cs,85.245,369.4634545,12.97272727,3.358364,148.01,290.7748,6.24,2.0368
michigan,gold,f,168,cs,85.245,366.6605455,22.68181818,5.782273,148.01,290.6916,10.96,3.5858
michigan,gold,f,224,cs,85.245,364.6075455,32.06363636,8.137,148.01,290.0802,15.36,5.0388
michigan,gold,f,250,cs,85.245,364.1598182,36.39090909,9.227273,148.01,289.9388,17.44,5.7396
michigan,gold,f,300,cs,85.245,363.2868182,44.8,11.849,148.01,289.6148,21.7,7.1904
illinois,gentry,g,0,cs,107.8784545,345.0145455,49.34545455,15.72172727,166.714,239.3374,50.06,20.8356
illinois,gentry,g,56,cs,107.8784545,317.5164545,66.75454545,21.88136364,166.714,237.1476,61.6,25.6924
illinois,gentry,g,112,cs,107.9207273,313.9741818,87.23636364,28.63327273,166.7286,237.1596,76.14,31.5764
illinois,gentry,g,168,cs,108.0175455,312.0943636,109.0272727,35.83018182,166.7326,237.2568,91.94,37.9508
illinois,gentry,g,224,cs,108.0175455,311.328,131.3909091,43.11136364,166.7328,237.2422,107.82,44.353
illinois,gentry,g,250,cs,108.0175455,311.0337273,141.8363636,46.52181818,166.733,237.246,115.26,47.35
illinois,gentry,g,300,cs,108.0175455,310.5244545,162.1272727,53.14527273,166.7334,237.2502,129.62,53.1526
indiana,hofmann,h,0,cs,100.3680909,304.4763636,55.29090909,17.82000207,148.5418,297.8994,51.4,17.60879803
indiana,hofmann,h,56,cs,100.3328182,300.4891818,72.16363636,24.61931528,148.39940000000001,297.744,62.16,21.54318899
indiana,hofmann,h,112,cs,100.3533636,298.6291818,91.84545455,31.97606959,148.4084,297.7346,75.56,26.53657098
indiana,hofmann,h,168,cs,100.3592727,297.7942727,112.4181818,39.65243094,148.4134,297.6532,89.56,31.78007121
indiana,hofmann,h,224,cs,100.3637273,297.3032727,133.2363636,47.42293088,148.417,297.6214,103.7,37.08812964
indiana,hofmann,h,250,cs,100.3637273,297.1248182,143.0363636,51.08436972,148.4174,297.613,110.38,39.59721775
indiana,hofmann,h,300,cs,100.3637273,315.8559,169.22,54.97335864,148.4174,297.602,123.76,44.58421688
indiana,kladivko,i,0,cs,108.6693636,147.1251818,8.454545455,7.771097057,193.5644,76.527,10.08,12.63180871
indiana,kladivko,i,56,cs,112.2011818,140.7995455,14.55454545,12.80568588,193.3044,78.7056,16.7,20.14747537
indiana,kladivko,i,112,cs,115.9481818,140.7978182,20.61818182,17.17833703,196.4682,83.1618,22.88,26.0543719
indiana,kladivko,i,168,cs,117.0487273,141.1025455,26.34545455,21.20036203,196.4682,86.008,28.56,31.39377909
indiana,kladivko,i,224,cs,118.148,141.3574545,32.11818182,25.27710064,196.4682,88.2188,34.14,36.64697457
indiana,kladivko,i,250,cs,118.148,141.436,34.76363636,27.14695777,196.4682,89.0054,36.68,39.04497585
indiana,kladivko,i,300,cs,118.148,139.3804,40.55,31.00815503,196.4682,92.96,42.7,43.43874197
iowa,sutherland,j,0,cs,77.57227273,161.5710909,2.181818182,1.238655663,106.4674,170.2162,1.22,0.71673554
iowa,sutherland,j,56,cs,95.91918182,158.4588182,2.745454545,1.459908467,147.994,142.3024,1.42,0.997874948
iowa,sutherland,j,112,cs,111.9742727,156.4331818,3.290909091,1.702338935,182.8746,128.0286,1.84,1.43717888
iowa,sutherland,j,168,cs,117.3920909,155.475,5.872727273,3.002614599,191.9198,124.7974,2.88,2.307740386
iowa,sutherland,j,224,cs,118.6973636,153.0309091,10.62727273,5.686999411,192.6218,125.0626,5.18,4.141925724
iowa,sutherland,j,250,cs,118.6973636,152.7084545,12.99090909,7.049502457,192.6218,125.088,6.32,5.05244308
iowa,sutherland,j,300,cs,118.6973636,152.1390909,17.51818182,9.685355693,192.6218,125.0574,8.5,6.796878873
wisconsin,masarik,a,0,cc,29.4335,410.2440833,0.975,0.237666667,NA,NA,NA,NA
wisconsin,masarik,a,56,cc,90.50383333,427.0131667,1.608333333,0.3705,NA,NA,NA,NA
