ApsimVersion = 7.9 r0
Title = Kladivko_CC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        394.000        112.000            132.897                12.8           9.633                   0.000               194.869
     31/12/1995           1995       1221.000        556.000        112.000            171.833                 8.1           4.734                  25.099                 0.000
     31/12/1996           1996       1431.000        431.000        112.000            168.406                10.7           6.341                   0.000               189.213
     31/12/1997           1997       1170.000        592.000        112.000            283.055                 3.0           1.058                  22.316                 0.000
     31/12/1998           1998       1294.000        614.000        112.000             33.705                 1.1           3.136                   0.000               171.752
     31/12/1999           1999        946.000        354.000        112.000            146.954                 2.9           1.989                   0.000               148.980
     31/12/2000           2000       1400.000        736.000        112.000            184.752                 3.7           1.984                   0.000               157.051
     31/12/2001           2001       1285.000        851.000        112.000            133.416                 5.4           4.026                   0.000               125.545
     31/12/2002           2002       1401.000        563.000        112.000            351.308                 7.1           2.026                   0.000               167.146
     31/12/2003           2003       1319.000        709.000        112.000            172.336                 6.5           3.770                   0.000               169.794
     31/12/2004           2004       1383.500        753.000        112.000            243.610                11.9           4.870                   0.000               163.967
     31/12/2005           2005       1240.000        597.000        112.000            170.425                 4.2           2.475                   0.000               163.985
     31/12/2006           2006       1535.000        801.000        112.000            254.104                 6.7           2.635                   0.000               173.607
     31/12/2007           2007       1138.000        467.000        112.000            225.040                 5.3           2.351                   0.000               166.912
     31/12/2008           2008       1515.000        613.000        112.000            363.298                17.0           4.668                   0.000               148.864
     31/12/2009           2009       1395.000        890.000        112.000            117.152                 1.2           1.036                   0.000               142.796
     31/12/2010           2010        964.000        496.000        112.000            113.516                 8.5           7.485                   0.000               172.940
     31/12/2011           2011       1489.000        403.000        112.000            459.105                10.3           2.248                   0.000               151.759
     31/12/2012           2012        981.000        463.000        112.000            102.986                 2.0           1.941                   0.000               165.823
     31/12/2013           2013       1237.000        550.000        112.000            173.655                 5.4           3.091                   0.000               150.713
     31/12/2014           2014       1271.000        674.000        112.000            159.166                 4.9           3.073                   0.000               162.085
     31/12/2015           2015       1390.000        710.000        112.000            228.784                 7.4           3.223                   0.000               163.589
     31/12/2016           2016       1305.000        674.000        112.000            145.938                 2.1           1.450                   0.000               158.184
     31/12/2017           2017       1413.000        656.000        112.000            220.883                10.6           4.821                   0.000               207.581
     31/12/2018           2018       1487.000        737.000        112.000            240.210                 5.8           2.415                   0.000               169.635
     31/12/2019           2019       1419.000        497.000        112.000            406.654                 6.2           1.524                   0.000               155.170
