ApsimVersion = 7.9 r0
Title = Gilmore_CC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        767.000        578.000        112.000            323.416                35.0          10.827          156.641
     31/12/1995           1995        788.000        462.000        112.000            446.885                42.4           9.492           39.571
     31/12/1996           1996        924.000        694.000        112.000            373.694                27.7           7.401          182.515
     31/12/1997           1997        626.000        400.000        112.000            312.545                16.8           5.372           48.222
     31/12/1998           1998        965.000        681.000        112.000            434.105                28.2           6.502          157.449
     31/12/1999           1999        787.000        421.000        112.000            454.004                31.6           6.955          187.140
     31/12/2000           2000        625.000        399.000        112.000            323.921                18.4           5.669          168.303
     31/12/2001           2001        861.000        510.000        112.000            509.579                25.6           5.026          110.757
     31/12/2002           2002        774.000        623.000        112.000            369.034                12.0           3.242          169.462
     31/12/2003           2003        733.000        432.000        112.000            423.722                17.9           4.214          175.674
     31/12/2004           2004        858.500        542.000        112.000            524.010                20.8           3.976          169.176
     31/12/2005           2005        802.000        535.000        112.000            450.483                15.5           3.433          180.051
     31/12/2006           2006        696.000        487.000        112.000            391.449                15.4           3.937          165.129
     31/12/2007           2007       1086.000        702.000        112.000            643.457                22.0           3.418          156.261
     31/12/2008           2008       1001.000        678.000        112.000            604.972                25.4           4.204          179.845
     31/12/2009           2009        817.000        605.000        112.000            468.185                12.1           2.580          183.974
     31/12/2010           2010       1088.000        887.000        112.000            637.299                19.4           3.049          146.348
     31/12/2011           2011        591.000        390.000        112.000            353.239                15.1           4.288          141.743
     31/12/2012           2012        620.000        373.000        112.000            310.433                11.8           3.806          172.891
     31/12/2013           2013        682.000        374.000        112.000            495.354                22.9           4.621          150.076
     31/12/2014           2014        980.000        789.000        112.000            582.763                19.4           3.325          158.671
     31/12/2015           2015       1137.000        717.000        112.000            654.478                18.9           2.890          174.960
     31/12/2016           2016        899.000        663.000        112.000            451.703                14.4           3.178          172.285
     31/12/2017           2017        758.000        520.000        112.000            441.811                20.5           4.639          200.624
     31/12/2018           2018       1171.000        868.000        112.000            699.147                30.8           4.411          167.572
     31/12/2019           2019        951.000        654.000        112.000            600.501                25.1           4.174          170.262
