ApsimVersion = 7.9 r0
Title = Kladivko_CC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        394.000        168.000            132.897                12.8           9.633                   0.000               194.869
     31/12/1995           1995       1221.000        556.000        168.000            171.833                 8.1           4.734                  25.099                 0.000
     31/12/1996           1996       1431.000        431.000        168.000            168.406                10.7           6.341                   0.000               189.213
     31/12/1997           1997       1170.000        592.000        168.000            283.055                 3.0           1.058                  22.316                 0.000
     31/12/1998           1998       1294.000        614.000        168.000             33.705                 1.1           3.136                   0.000               171.752
     31/12/1999           1999        946.000        354.000        168.000            145.249                 2.6           1.798                   0.000               200.446
     31/12/2000           2000       1400.000        736.000        168.000            183.930                 4.8           2.599                   0.000               169.965
     31/12/2001           2001       1285.000        851.000        168.000            131.408                10.5           7.992                   0.000               136.569
     31/12/2002           2002       1401.000        563.000        168.000            346.536                14.7           4.252                   0.000               177.245
     31/12/2003           2003       1319.000        709.000        168.000            166.746                13.5           8.103                   0.000               171.367
     31/12/2004           2004       1383.500        753.000        168.000            234.570                21.4           9.130                   0.000               200.093
     31/12/2005           2005       1240.000        597.000        168.000            172.288                 8.8           5.087                   0.000               164.791
     31/12/2006           2006       1535.000        801.000        168.000            250.389                18.3           7.296                   0.000               175.080
     31/12/2007           2007       1138.000        467.000        168.000            222.504                16.3           7.322                   0.000               179.049
     31/12/2008           2008       1515.000        613.000        168.000            342.345                27.0           7.883                   0.000               208.265
     31/12/2009           2009       1395.000        890.000        168.000            117.480                 5.6           4.805                   0.000               151.017
     31/12/2010           2010        964.000        496.000        168.000            106.095                11.6          10.963                   0.000               185.174
     31/12/2011           2011       1489.000        403.000        168.000            458.093                15.5           3.374                   0.000               200.084
     31/12/2012           2012        981.000        463.000        168.000             99.819                 3.2           3.161                   0.000               196.863
     31/12/2013           2013       1237.000        550.000        168.000            172.767                12.5           7.208                   0.000               150.665
     31/12/2014           2014       1271.000        674.000        168.000            157.085                14.3           9.103                   0.000               160.950
     31/12/2015           2015       1390.000        710.000        168.000            226.770                25.9          11.417                   0.000               162.137
     31/12/2016           2016       1305.000        674.000        168.000            136.628                 5.4           3.988                   0.000               158.843
     31/12/2017           2017       1413.000        656.000        168.000            214.021                23.1          10.785                   0.000               208.499
     31/12/2018           2018       1487.000        737.000        168.000            239.123                15.7           6.568                   0.000               174.726
     31/12/2019           2019       1419.000        497.000        168.000            392.812                15.7           3.985                   0.000               164.412
