ApsimVersion = 7.9 r0
Title = Sutherland_CC_spring_NR224
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994              ?        550.460        224.000                  ?                   ?         100.000                ?
     31/12/1995           1995        802.428        508.853        224.000            182.415                29.5          16.161          210.794
     31/12/1996           1996        682.592        486.478        224.000            136.730                 8.3           6.077          225.879
     31/12/1997           1997        659.417        450.196        224.000            105.534                 7.0           6.591          223.791
     31/12/1998           1998        827.994        544.054        224.000            177.484                10.3           5.783          197.943
     31/12/1999           1999        566.186        341.638        224.000             98.997                10.1          10.197          201.914
     31/12/2000           2000        588.510        374.668        224.000            140.429                11.3           7.994          214.781
     31/12/2001           2001        760.490        400.054        224.000            193.985                34.3          17.737          141.317
     31/12/2002           2002        601.310        475.078        224.000             75.496                 8.3          10.948          214.520
     31/12/2003           2003        679.553        450.336        224.000            134.196                16.2          12.081          208.491
     31/12/2004           2004        982.960        745.996        224.000            182.334                12.5           6.865          238.578
     31/12/2005           2005        795.539        567.211        224.000            147.590                 9.9           6.727          216.938
     31/12/2006           2006        619.500        369.064        224.000            111.430                12.5          11.188          148.221
     31/12/2007           2007        926.102        587.258        224.000            257.113                38.9          15.121          199.089
     31/12/2008           2008        794.702        509.720        224.000            208.458                25.2          12.101          229.321
     31/12/2009           2009        611.608        404.596        224.000            108.160                 6.3           5.881          248.569
     31/12/2010           2010        994.688        782.074        224.000            251.004                14.8           5.878          230.473
     31/12/2011           2011        510.786        375.414        224.000            105.191                 3.3           3.159          230.409
     31/12/2012           2012        619.490        386.080        224.000             98.425                 2.3           2.368          140.804
     31/12/2013           2013        779.258        553.972        224.000            185.629                37.1          20.001          225.276
     31/12/2014           2014        662.412        523.494        224.000             64.807                 5.6           8.636          203.037
     31/12/2015           2015        824.760        486.156        224.000            195.864                19.0           9.689          215.393
     31/12/2016           2016        904.802        578.726        224.000            172.498                17.5          10.106          221.754
     31/12/2017           2017        621.748        406.912        224.000            117.084                15.2          12.990          237.328
     31/12/2018           2018        951.214        619.990        224.000            226.891                21.8           9.567          238.140
     31/12/2019           2019        883.171        557.542        224.000            228.121                23.6          10.360          214.657
