ApsimVersion = 7.9 r0
Title = Gentry_CC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        889.300        415.300        168.000            472.482                37.9           8.028          204.321
     31/12/1995           1995        953.500        386.000        168.000            477.720                27.4           5.729           54.388
     31/12/1996           1996        947.300        488.900        168.000            388.748                25.1           6.460          215.663
     31/12/1997           1997        889.400        499.100        168.000            493.488                10.7           2.174           51.741
     31/12/1998           1998       1091.500        548.800        168.000            428.548                23.0           5.370          181.852
     31/12/1999           1999        884.700        455.700        168.000            393.936                20.2           5.133          235.129
     31/12/2000           2000        918.600        586.300        168.000            366.377                24.3           6.635          198.921
     31/12/2001           2001        963.400        635.300        168.000            446.686                31.1           6.957          155.709
     31/12/2002           2002        984.500        439.600        168.000            510.088                41.6           8.161          188.299
     31/12/2003           2003        966.800        627.600        168.000            360.066                25.7           7.127          190.363
     31/12/2004           2004       1019.600        646.800        168.000            520.502                39.8           7.651          193.003
     31/12/2005           2005        832.000        454.100        168.000            370.466                26.5           7.145          162.599
     31/12/2006           2006        994.600        562.400        168.000            489.484                64.2          13.121          190.485
     31/12/2007           2007        984.000        503.300        168.000            472.409                61.1          12.936          182.743
     31/12/2008           2008       1311.600        771.100        168.000            667.796                75.1          11.247          202.775
     31/12/2009           2009       1273.500        643.300        168.000            704.165                43.0           6.111          136.798
     31/12/2010           2010        976.199        675.300        168.000            454.890                40.0           8.793          185.048
     31/12/2011           2011       1006.100        458.800        168.000            544.671                61.7          11.322          208.506
     31/12/2012           2012        739.800        504.100        168.000            212.512                20.6           9.673          113.332
     31/12/2013           2013        954.600        462.200        168.000            494.192                61.9          12.524          191.089
     31/12/2014           2014       1020.999        685.300        168.000            500.064                50.8          10.153          186.775
     31/12/2015           2015       1135.699        674.000        168.000            570.581                70.0          12.275          190.467
     31/12/2016           2016        996.999        684.000        168.000            451.689                48.8          10.814          181.564
     31/12/2017           2017        884.200        506.800        168.000            351.418                53.8          15.319          229.419
     31/12/2018           2018       1050.600        604.700        168.000            478.892                65.8          13.738          190.602
     31/12/2019           2019       1093.500        490.200        168.000            587.522                76.1          12.947          176.543
