ApsimVersion = 7.9 r0
Title = Sutherland_CC_spring_NR112
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994              ?        550.460        112.000                  ?                   ?         100.000                       ?                     ?
     31/12/1995           1995        802.428        508.853        112.000            199.534                 9.6           4.826                   0.000               174.892
     31/12/1996           1996        682.592        486.478        112.000            153.088                 1.3           0.843                   0.000               152.726
     31/12/1997           1997        659.417        450.196        112.000            123.207                 1.9           1.582                   0.000               153.451
     31/12/1998           1998        827.994        544.054        112.000            186.251                 3.4           1.830                   0.000               169.056
     31/12/1999           1999        566.186        341.638        112.000             98.416                 2.8           2.808                   0.000               191.914
     31/12/2000           2000        588.510        374.668        112.000            145.488                 2.2           1.528                   0.000               164.931
     31/12/2001           2001        760.490        400.054        112.000            203.056                 9.2           4.519                   0.000               140.291
     31/12/2002           2002        601.310        475.078        112.000             94.036                 1.3           1.432                   0.000               158.963
     31/12/2003           2003        679.553        450.336        112.000            127.967                 3.8           2.987                   0.000               165.014
     31/12/2004           2004        982.960        745.996        112.000            219.734                 2.6           1.193                   0.000               162.464
     31/12/2005           2005        795.539        567.211        112.000            170.571                 2.8           1.637                   0.000               163.869
     31/12/2006           2006        619.500        369.064        112.000            112.357                 4.7           4.247                   0.000               147.688
     31/12/2007           2007        926.102        587.258        112.000            274.992                 6.0           2.190                   0.000               146.309
     31/12/2008           2008        794.702        509.720        112.000            218.285                 6.5           2.977                   0.000               161.543
     31/12/2009           2009        611.608        404.596        112.000            127.341                 1.4           1.062                   0.000               150.575
     31/12/2010           2010        994.688        782.074        112.000            316.765                 4.5           1.414                   0.000               148.929
     31/12/2011           2011        510.786        375.414        112.000             95.777                 2.2           2.289                   0.000               179.240
     31/12/2012           2012        619.490        386.080        112.000            100.499                 1.1           1.130                   0.000               140.232
     31/12/2013           2013        779.258        553.972        112.000            183.372                14.0           7.616                   0.000               178.083
     31/12/2014           2014        662.412        523.494        112.000             77.657                 0.9           1.213                   0.000               153.579
     31/12/2015           2015        824.760        486.156        112.000            211.151                 1.9           0.888                   0.000               155.505
     31/12/2016           2016        904.802        578.726        112.000            184.095                 2.5           1.360                   0.000               182.004
     31/12/2017           2017        621.748        406.912        112.000            138.746                 2.8           2.034                   0.000               170.723
     31/12/2018           2018        951.214        619.990        112.000            242.435                 4.1           1.696                   0.000               177.034
     31/12/2019           2019        883.171        557.542        112.000            243.269                 5.4           2.222                   0.000               163.835
