ApsimVersion = 7.9 r0
Title = Gold_CC_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        910.000        541.000        300.000            201.872                16.3           8.082           32.574
     31/12/1995           1995        731.000        356.000        300.000            101.004                 3.5           3.486           51.999
     31/12/1996           1996        968.000        504.000        300.000            150.354                 4.5           2.994          135.150
     31/12/1997           1997        780.000        435.000        300.000            112.044                 3.1           2.777           46.015
     31/12/1998           1998        710.000        284.000        300.000            141.946                 3.3           2.322          109.733
     31/12/1999           1999        796.000        454.000        300.000            107.973                10.2           9.435          160.665
     31/12/2000           2000        898.000        525.000        300.000            149.995                32.4          21.623          108.796
     31/12/2001           2001        791.000        517.000        300.000            141.026                38.2          27.115          169.282
     31/12/2002           2002        807.000        432.000        300.000             78.814                23.6          29.954          150.735
     31/12/2003           2003        709.000        292.000        300.000            140.565                52.7          37.513          161.254
     31/12/2004           2004        863.000        497.000        300.000            178.132                70.5          39.592          122.007
     31/12/2005           2005        797.000        417.000        300.000            157.374                63.5          40.374          159.372
     31/12/2006           2006       1062.000        629.000        300.000            228.280               101.4          44.399          159.902
     31/12/2007           2007        820.000        481.000        300.000            122.336                45.6          37.254          179.186
     31/12/2008           2008       1033.000        587.000        300.000            211.682                81.9          38.695          120.291
     31/12/2009           2009        861.000        451.000        300.000            147.520                41.4          28.080          155.293
     31/12/2010           2010        678.000        451.000        300.000             72.081                26.7          37.057          143.357
     31/12/2011           2011        979.000        530.000        300.000            198.451                90.4          45.564          141.866
     31/12/2012           2012        823.500        530.000        300.000             86.834                42.1          48.485          107.261
     31/12/2013           2013        967.000        436.000        300.000            239.213               117.6          49.163          149.916
     31/12/2014           2014        950.000        527.000        300.000            152.999                69.1          45.133          111.108
     31/12/2015           2015        813.000        542.000        300.000             77.041                31.8          41.281          133.745
     31/12/2016           2016        956.000        463.000        300.000            182.117                72.0          39.532          150.941
     31/12/2017           2017        946.000        443.000        300.000            212.322                81.6          38.419          168.664
     31/12/2018           2018        868.000        459.000        300.000            167.154                75.8          45.339          105.856
     31/12/2019           2019       1070.000        541.000        300.000            200.169                85.1          42.509          124.763
