ApsimVersion = 7.9 r0
Title = Gold_CC_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        910.000        541.000          0.000            201.872                16.3           8.082                   0.000                32.574
     31/12/1995           1995        731.000        356.000          0.000            101.004                 3.5           3.486                  51.999                 0.000
     31/12/1996           1996        968.000        504.000          0.000            150.354                 4.5           2.994                   0.000               135.150
     31/12/1997           1997        780.000        435.000          0.000            112.044                 3.1           2.777                  46.015                 0.000
     31/12/1998           1998        710.000        284.000          0.000            141.946                 3.3           2.322                   0.000               109.733
     31/12/1999           1999        796.000        454.000          0.000            120.117                 7.4           6.158                   0.000                72.225
     31/12/2000           2000        898.000        525.000          0.000            174.945                 0.9           0.490                   0.000                16.549
     31/12/2001           2001        791.000        517.000          0.000            164.275                 0.9           0.568                   0.000                47.623
     31/12/2002           2002        807.000        432.000          0.000             74.238                 0.9           1.195                   0.000                61.991
     31/12/2003           2003        709.000        292.000          0.000            133.402                 1.1           0.804                   0.000                58.006
     31/12/2004           2004        863.000        497.000          0.000            159.441                 1.4           0.857                   0.000                22.475
     31/12/2005           2005        797.000        417.000          0.000            135.969                 1.9           1.425                   0.000                31.392
     31/12/2006           2006       1062.000        629.000          0.000            222.444                 3.5           1.573                   0.000                48.248
     31/12/2007           2007        820.000        481.000          0.000            117.410                 0.9           0.753                   0.000                22.907
     31/12/2008           2008       1033.000        587.000          0.000            215.066                 2.8           1.301                   0.000                25.892
     31/12/2009           2009        861.000        451.000          0.000            140.179                 0.4           0.251                   0.000                 7.813
     31/12/2010           2010        678.000        451.000          0.000             57.311                 0.5           0.896                   0.000                28.667
     31/12/2011           2011        979.000        530.000          0.000            175.044                 3.7           2.101                   0.000                30.213
     31/12/2012           2012        823.500        530.000          0.000            110.730                 1.1           0.985                   0.000                28.489
     31/12/2013           2013        967.000        436.000          0.000            228.439                 4.1           1.782                   0.000                31.593
     31/12/2014           2014        950.000        527.000          0.000            153.061                 0.8           0.530                   0.000                 4.533
     31/12/2015           2015        813.000        542.000          0.000             73.575                 0.2           0.270                   0.000                15.009
     31/12/2016           2016        956.000        463.000          0.000            176.683                 1.6           0.930                   0.000                26.014
     31/12/2017           2017        946.000        443.000          0.000            192.332                 3.2           1.649                   0.000                38.845
     31/12/2018           2018        868.000        459.000          0.000            190.755                 1.8           0.961                   0.000                18.623
     31/12/2019           2019       1070.000        541.000          0.000            206.160                 1.5           0.746                   0.000                27.172
