site,year,rotation,a,b,xs,c
gent,2002,cc,8.948243384402307,0.04873495263577826,128.59216086397493,0.40880231986661014
gent,2002,cs,20.02727071901598,0.10136609198036646,116.29131463485989,0.31805721825507927
gent,2011,cc,9.156541468269415,0.059194020583853535,128.59216086397493,0.44088267390362545
gent,2009,cc,5.9174057551832675,-0.011716775817659203,128.59216086397493,0.6036512252844151
gent,2011,cs,24.592056099416904,0.151167773317909,116.29131463485989,0.38751569586498336
gent,2000,cc,13.167867072791616,0.056245535575944125,128.59216086397493,0.5444033078698766
gent,2013,cs,18.094100674851603,0.12867188452636583,116.29131463485989,0.46600164300352276
gent,2003,cs,22.56950667250908,0.12665358587489917,116.29131463485989,0.4582286381596352
gent,2005,cc,15.286943314051118,0.06890214668845124,128.59216086397493,0.5723501374469365
gent,2003,cc,9.19915585137539,0.03591638803326683,128.59216086397493,0.6433185973270416
gent,2013,cc,9.33933894960507,0.08998944943306707,128.59216086397493,0.613065441914264
gent,2012,cs,30.439169727147974,0.17420137762836194,116.29131463485989,0.40651719517875484
gent,2000,cs,29.19912030090312,0.1992874177933569,116.29131463485989,0.4237373257464305
gent,2008,cs,17.92593704133104,0.13910681694790192,116.29131463485989,0.5264835457197701
gent,2004,cs,22.660594405954107,0.154435155141737,116.29131463485989,0.5000340521543029
gent,2005,cs,30.53817350181566,0.15109526321955558,116.29131463485989,0.46187369408330115
gent,2010,cs,25.241837957831052,0.17573760964561022,116.29131463485989,0.5291270556671284
gent,2014,cc,7.151164495869067,0.06581798880409155,128.59216086397493,0.7440632685875881
gent,2016,cs,22.07725198988785,0.2662541023029474,116.29131463485989,0.5026041531981138
gent,2012,cc,16.02226028780882,0.13144232391829586,128.59216086397493,0.6344884697541389
gent,2017,cc,12.577818370289759,0.14566749346838112,128.59216086397493,0.6719813264994172
gent,2001,cs,21.96655682708903,0.14301974410139842,116.29131463485989,0.5792522928268785
gent,2016,cc,8.4562692788856,0.15564254606146583,128.59216086397493,0.7282304878933097
gent,2014,cs,19.968033988579094,0.1954644320813778,116.29131463485989,0.6103166053276128
gent,2009,cs,23.001817082764596,0.16914740175653944,116.29131463485989,0.620945150020032
gent,2017,cs,34.2377350401422,0.2241219208243678,116.29131463485989,0.5353382508827512
gent,2006,cs,32.114782524243424,0.29480453551505037,116.29131463485989,0.514130809754384
gent,2004,cc,11.555851998005389,0.05652480757515099,128.59216086397493,0.8221244001466967
gent,2015,cs,21.1617707666782,0.22378616202566845,116.29131463485989,0.6367750587916664
gent,2001,cc,14.027030434142409,0.10340401038800867,128.59216086397493,0.8335541965991988
gent,2007,cc,15.393874678783533,0.1416930345103289,128.59216086397493,0.8306027023470404
gent,2010,cc,13.896235656353895,0.20642045752547591,128.59216086397493,0.7974825268979637
gent,2007,cs,32.71955257551812,0.22381261953114154,116.29131463485989,0.6774271066413285
gent,2008,cc,9.70380038663287,0.16464792621887436,128.59216086397493,0.8895956238389285
gent,2006,cc,10.485711713553142,0.16164082418747672,128.59216086397493,0.9051562370239667
gent,2015,cc,9.270597861814725,0.170691742771317,128.59216086397493,0.922773747342658
gent,2018,cc,15.936200621055736,0.24794679138217787,128.59216086397493,1.0300139688240202
gilm,2011,cs,12.40949377036226,0.1585763971032225,116.29131463485989,0.3380027511000707
gilm,2013,cs,11.06646756951158,0.05461870311871091,116.29131463485989,0.4086366358104745
gilm,2011,cc,4.226615643293561,0.11498938531726427,128.59216086397493,0.46574365188108857
gilm,2004,cs,13.379415487138047,0.1095670122200135,116.29131463485989,0.4286824568800758
gilm,2013,cc,4.928237058340297,0.08158840923114818,128.59216086397493,0.5335342401600626
gilm,2009,cs,9.772064387877471,0.09115657819279467,116.29131463485989,0.4958015808488675
gilm,2002,cs,11.296331060301851,0.13434161580561765,116.29131463485989,0.47012090943133633
gilm,2001,cc,4.216138114254551,0.19433509835559215,128.59216086397493,0.5287293490410763
gilm,2002,cc,4.318870710847133,0.14428716615473944,128.59216086397493,0.5689261082429009
gilm,2001,cs,7.828268266261989,0.18066471926677882,116.29131463485989,0.4835110933802217
gilm,2012,cs,13.541497523268648,0.11109493773112276,116.29131463485989,0.49312985305713897
gilm,2008,cs,10.398930765619225,0.18029851509493802,116.29131463485989,0.47757791328738664
gilm,2005,cc,7.098406176821815,0.11499022373535274,128.59216086397493,0.5948398874303145
gilm,2005,cs,14.379476173721113,0.15769121089539256,116.29131463485989,0.4740108354221432
gilm,2017,cc,5.533683221474812,0.11568170198091494,128.59216086397493,0.6271815394191121
gilm,2003,cs,12.614169759558429,0.1069055739012554,116.29131463485989,0.5460381858056873
gilm,2010,cs,11.889144495081522,0.18664367493995096,116.29131463485989,0.5181219105301541
gilm,2017,cs,16.274324788250517,0.13719767003839833,116.29131463485989,0.5189442882581677
gilm,2000,cs,17.537604908914336,0.24262256819851888,116.29131463485989,0.46144348715315775
gilm,2016,cs,14.25249941427045,0.20231100149249723,116.29131463485989,0.49705827523250445
gilm,2009,cc,2.7217486531234676,0.07602669718140814,128.59216086397493,0.693381887586002
gilm,2012,cc,7.240957309447756,0.10381795599448676,128.59216086397493,0.6569649214801956
gilm,2006,cs,16.28384060841669,0.20889540570081713,116.29131463485989,0.5112538527128003
gilm,2008,cc,4.341272020679414,0.14146382666527638,128.59216086397493,0.6644767671589165
gilm,2014,cs,10.942486562673567,0.18116889484673196,116.29131463485989,0.5862497943200019
gilm,2004,cc,5.826091343682666,0.12297753922615975,128.59216086397493,0.7030725997922248
gilm,2016,cc,6.205562023172831,0.1765801619161067,128.59216086397493,0.6869595045693919
gilm,2007,cs,15.399349214428739,0.1512530033850696,116.29131463485989,0.5998705240209058
gilm,2003,cc,6.142219606828316,0.14088062374315566,128.59216086397493,0.7143894888398881
gilm,2010,cc,5.826667882461708,0.13441505872242965,128.59216086397493,0.7456118647224999
gilm,2015,cs,14.90090134680616,0.24615821376956135,116.29131463485989,0.6057535506053929
gilm,2000,cc,11.268249828955868,0.3019235336220185,128.59216086397493,0.633714252721228
gilm,2007,cc,7.568027625957977,0.14583248242377997,128.59216086397493,0.8288546321103445
gilm,2006,cc,6.725876756928808,0.16297000052913577,128.59216086397493,0.816578398426197
gilm,2015,cc,4.675027126864776,0.17478930311205884,128.59216086397493,0.8400602407774732
gilm,2014,cc,3.3392905460276587,0.12885248844614933,128.59216086397493,0.9054205193705753
gilm,2018,cc,6.193533026880712,0.24388916721141896,128.59216086397493,0.9483052474355411
gold,2009,cc,-0.5823776542419135,0.005080987786092554,128.59216086397493,0.09492861573253802
gold,2002,cs,2.6668286598523165,0.02161383399879979,116.29131463485989,0.06879432814834832
gold,2009,cs,2.2202120601599553,0.004213095037219738,116.29131463485989,0.0814383879724683
gold,2002,cc,0.17889975707251748,0.02763662120102091,128.59216086397493,0.11074598220019327
gold,2000,cs,2.832071745240529,0.03219762787204687,116.29131463485989,0.13941305393753625
gold,2011,cs,4.675683332826047,0.03966276150329419,116.29131463485989,0.13879077432565715
gold,2001,cs,2.3673264807522063,0.022811487916424112,116.29131463485989,0.18657610642642172
gold,2014,cs,1.7769180187090647,0.05386236282023639,116.29131463485989,0.17130339702541167
gold,2000,cc,0.32084996739221916,0.012704604037588045,128.59216086397493,0.2279885641896449
gold,2014,cc,-0.7446625746596114,0.03233547703026456,128.59216086397493,0.2319758685391447
gold,2008,cs,1.394619799861256,0.03146011300144305,116.29131463485989,0.20699501344324686
gold,2003,cs,3.1491617953722617,0.011813825148074785,116.29131463485989,0.20558932191300797
gold,2017,cs,3.884664432881727,0.05333503315973881,116.29131463485989,0.1799129082062422
gold,2004,cs,5.121876729303716,0.02406152941212612,116.29131463485989,0.19912553877415037
gold,2013,cs,2.5396740467685044,0.05165885778226395,116.29131463485989,0.2026339159652559
gold,2007,cs,4.996566434564191,0.022420901910336664,116.29131463485989,0.21772304798891176
gold,2015,cs,4.403992432594555,0.06361476511698852,116.29131463485989,0.20159862520138092
gold,2006,cs,3.739150794676331,0.06871451868793849,116.29131463485989,0.20914987949531902
gold,2010,cs,6.1694404582092535,0.07480656245460192,116.29131463485989,0.20059880639484798
gold,2001,cc,0.6773731272660508,0.024736267513953754,128.59216086397493,0.28585712487598636
gold,2005,cs,5.956620313838178,0.05731963151866984,116.29131463485989,0.21957842343497672
gold,2011,cc,0.8727609569587649,0.052959246335908795,128.59216086397493,0.30969250638980583
gold,2016,cs,6.413453226778758,0.06967912781915045,116.29131463485989,0.259187656901387
gold,2003,cc,-0.0052827365015655214,0.0496617438635903,128.59216086397493,0.3362589711941553
gold,2017,cc,0.7509921955395038,0.054112464032104596,128.59216086397493,0.3368560286684591
gold,2008,cc,-0.4090861074312234,0.03344937164685156,128.59216086397493,0.3574383054550592
gold,2015,cc,0.16142596052376867,0.06602665013987205,128.59216086397493,0.36478116368017244
gold,2018,cc,0.5697866819880968,0.08803033045010722,128.59216086397493,0.3532232056924028
gold,2010,cc,2.0286782010837543,0.04931163656809059,128.59216086397493,0.38503330636104194
gold,2007,cc,2.1993709090074365,0.05227412373403173,128.59216086397493,0.3885710131925886
gold,2013,cc,-0.16191471157774862,0.11317388185742397,128.59216086397493,0.3711551639239319
gold,2012,cs,7.589522116421722,0.1713695048758859,116.29131463485989,0.2769985349758488
