eu,crop,is_null
gent_2006cs,corn,TRUE
gent_2016cs,corn,TRUE
gilm_2000cc,corn,TRUE
gilm_2000cs,corn,TRUE
gilm_2016cs,corn,TRUE
gold_2012cs,corn,TRUE
hoff_2005cc,corn,TRUE
klad_2000cs,corn,TRUE
klad_2005cs,corn,TRUE
klad_2008cc,corn,TRUE
klad_2008cs,corn,TRUE
klad_2009cs,corn,TRUE
klad_2010cs,corn,TRUE
klad_2013cs,corn,TRUE
klad_2014cs,corn,TRUE
klad_2015cs,corn,TRUE
masa_2010cs,corn,TRUE
