term,df,sumsq,meansq,statistic,p.value,thing
rotation,1,64326.73375130016,64326.73375130016,221.7946244839893,0,buffer_diff
site,7,3167.752034389071,452.5360049127244,1.5603163322912192,0.147,buffer_diff
rotation:site,7,3059.098515758349,437.0140736797642,1.5067976673704913,0.165,buffer_diff
Residuals,278,80627.88728295962,290.02837152143746,NA,NA,buffer_diff
