site_id,year,rotation,term2,estimate
gent,2012,cc,a,34.50774457967802
gent,2012,cs,a,16.09389068599898
gent,2009,cc,a,30.226594392721683
gent,2009,cs,a,31.79347699411488
gent,2005,cc,a,41.65174602375932
gent,2001,cs,a,40.63262677696925
gent,2001,cc,a,38.87580596549976
gent,2019,cc,a,36.01027666145615
gent,2019,cs,a,49.214092670189714
gent,2016,cc,a,61.91142748373306
gent,2007,cc,a,43.63414507439372
gent,2010,cc,a,39.94522189107806
gent,2014,cs,a,47.96565287880988
gent,2010,cs,a,67.5669597829738
gent,2014,cc,a,10.879814852847367
gent,2013,cs,a,73.18863443078136
gent,2016,cs,a,63.27408668277282
gent,2005,cs,a,37.82277059180831
gent,2015,cc,a,46.61756750063243
gent,2013,cc,a,54.78197884211205
gent,2015,cs,a,61.648776671102155
gent,2018,cc,a,45.644740117822806
gent,2006,cc,a,101.48198583489165
gent,2003,cc,a,49.661691569180064
gent,2006,cs,a,102.11981576895542
gent,2011,cs,a,93.32344693238151
gent,2002,cc,a,76.25605952866556
gent,2004,cc,a,38.67049331665697
gent,2002,cs,a,72.10108558557282
gent,2007,cs,a,38.40302276992179
gent,2000,cs,a,74.78512190135619
gent,2000,cc,a,95.30870590336932
gent,2018,cs,a,62.91129379385268
gent,2004,cs,a,54.347933660386374
gent,2008,cc,a,43.81546807349953
gent,2003,cs,a,54.87734051517078
gent,2008,cs,a,70.58384493302111
gent,2011,cc,a,74.03162737398448
gent,2017,cs,a,107.28471056478205
gent,2017,cc,a,82.51471407674414
gilm,2001,cc,a,50.40472631220311
gilm,2001,cs,a,30.1709465468722
gilm,2011,cc,a,40.53728713968342
gilm,2013,cc,a,28.842748020072456
gilm,2011,cs,a,29.34402757938428
gilm,2014,cs,a,7.870776153301456
gilm,2013,cs,a,11.358934796532989
gilm,2007,cs,a,18.87039576531692
gilm,2007,cc,a,36.536558445669186
gilm,2014,cc,a,22.53055035382742
gilm,2000,cs,a,68.35164440962659
gilm,2018,cc,a,45.65620663633711
gilm,2018,cs,a,43.986179639313434
gilm,2010,cc,a,22.973292909694237
gilm,2000,cc,a,79.50939765212462
gilm,2006,cs,a,42.438983856410324
gilm,2006,cc,a,57.089489356361064
gilm,2019,cc,a,40.089073708727206
gilm,2019,cs,a,48.056863646133436
gilm,2010,cs,a,31.16417045716198
gilm,2008,cs,a,48.44681877491624
gilm,2016,cs,a,40.63656748375389
gilm,2002,cc,a,55.37145013015496
gilm,2012,cs,a,48.25234913909251
gilm,2012,cc,a,57.48072697455178
gilm,2015,cc,a,24.676998669954337
gilm,2016,cc,a,37.70406304984751
gilm,2002,cs,a,40.91493760788139
gilm,2015,cs,a,40.6448159365841
gilm,2008,cc,a,52.17120191433641
gilm,2005,cc,a,59.430568094703844
gilm,2005,cs,a,68.13983210182269
gilm,2003,cs,a,52.86630057863892
gilm,2003,cc,a,72.80333684728558
gilm,2004,cs,a,28.52376107962698
gilm,2004,cc,a,38.51471591289735
gilm,2009,cs,a,31.5144007189457
gilm,2009,cc,a,18.59786451231537
gilm,2017,cs,a,50.24256560999392
gilm,2017,cc,a,48.23795146733781
gold,2012,cs,a,7.579190232084169
gold,2018,cc,a,20.847329296829127
gold,2018,cs,a,14.538875829631802
gold,2014,cs,a,-3.7119583833527585
gold,2012,cc,a,30.242702474834438
gold,2000,cc,a,26.32504759885824
gold,2014,cc,a,2.3178052322040585
gold,2008,cc,a,26.03595793916381
gold,2004,cc,a,26.400821869296056
gold,2019,cc,a,28.074509464918247
gold,2019,cs,a,4.109481114138532
gold,2000,cs,a,20.85497558030525
gold,2015,cc,a,14.50864333047674
gold,2008,cs,a,7.287735953008852
gold,2010,cs,a,30.722573155626666
gold,2011,cs,a,-2.8335927825112215
gold,2010,cc,a,28.08935016206568
gold,2013,cs,a,14.456335069431917
gold,2011,cc,a,33.84263837548515
gold,2004,cs,a,9.15643717500021
gold,2009,cs,a,-11.849601973555949
gold,2002,cc,a,76.64697566627005
gold,2016,cc,a,26.182095947713975
gold,2013,cc,a,35.37709481719355
gold,2003,cs,a,20.05072470674969
gold,2009,cc,a,2.1539213727841506
gold,2016,cs,a,10.443204544492236
gold,2015,cs,a,11.513779637918288
gold,2002,cs,a,61.3576879973455
gold,2006,cc,a,59.205657847588675
gold,2005,cc,a,36.853606708841454
gold,2003,cc,a,67.83620161710928
gold,2006,cs,a,30.624927123686845
gold,2017,cs,a,25.04737640421476
gold,2017,cc,a,41.75765544833143
gold,2005,cs,a,32.00326659810269
gold,2001,cs,a,24.39630453192669
gold,2001,cc,a,53.198111716288246
gold,2007,cs,a,17.704066205468916
gold,2007,cc,a,32.36328036877953
hoff,2005,cs,a,-5.624063249699219
hoff,2005,cc,a,23.18208144941848
hoff,2007,cs,a,36.470969776029484
hoff,2002,cs,a,50.53619293350164
hoff,2003,cc,a,2.689510842909243
hoff,2019,cs,a,31.889145436789207
hoff,2002,cc,a,69.50447560972461
hoff,2016,cc,a,26.190625552739675
hoff,2010,cs,a,22.276463201360407
hoff,2016,cs,a,25.579214170068468
hoff,2013,cc,a,26.49506516282531
hoff,2013,cs,a,39.375716029418136
hoff,2003,cs,a,27.128816405373406
hoff,2019,cc,a,20.606464596862846
hoff,2007,cc,a,42.651225263876476
hoff,2011,cs,a,46.3665408212846
hoff,2010,cc,a,6.731012586266051
hoff,2001,cs,a,31.07653677304711
hoff,2006,cs,a,32.29326388954821
hoff,2014,cc,a,-5.192806391955351
hoff,2018,cc,a,6.858205574296111
hoff,2015,cs,a,30.430641512975434
hoff,2015,cc,a,18.717465341966058
hoff,2006,cc,a,18.453157239701127
hoff,2001,cc,a,33.727065070548335
hoff,2018,cs,a,48.476400758925664
hoff,2014,cs,a,18.056274667452968
hoff,2017,cc,a,17.317615354970968
hoff,2000,cc,a,53.1397322177106
hoff,2000,cs,a,43.99843092778027
hoff,2009,cs,a,37.51859455217483
hoff,2011,cc,a,44.54248122178736
hoff,2017,cs,a,59.49332113769695
hoff,2004,cs,a,41.027260261209534
hoff,2009,cc,a,34.466751537418396
hoff,2008,cs,a,42.67736559464901
hoff,2008,cc,a,19.017801189771323
hoff,2004,cc,a,18.207293560673868
hugg,2004,cs,a,15.938803746618632
hugg,2004,cc,a,33.15589835192907
hugg,2006,cc,a,60.59787583878011
hugg,2012,cs,a,23.49888374510933
hugg,2012,cc,a,46.190505568113394
hugg,2006,cs,a,55.195105062752575
hugg,2007,cc,a,43.07501590633447
hugg,2007,cs,a,16.89979479794086
hugg,2014,cc,a,21.951135494018317
hugg,2013,cs,a,35.58830438999801
hugg,2014,cs,a,16.473509120819706
hugg,2003,cs,a,42.04579965827875
hugg,2013,cc,a,38.595724272149525
hugg,2017,cc,a,31.327522411052207
hugg,2017,cs,a,28.710670358861975
hugg,2003,cc,a,71.22759384691643
hugg,2010,cc,a,38.77502404733227
hugg,2016,cs,a,42.45774116050566
hugg,2008,cs,a,52.301033387713865
hugg,2008,cc,a,61.73702512184445
hugg,2016,cc,a,35.93133255756391
hugg,2019,cs,a,31.00017520386188
hugg,2010,cs,a,33.718122333836554
hugg,2002,cc,a,99.01594806349576
hugg,2018,cc,a,26.56994680855567
hugg,2002,cs,a,66.04887273759599
hugg,2018,cs,a,21.222527808073295
hugg,2001,cs,a,112.30310390345488
hugg,2011,cs,a,47.47885042767476
hugg,2011,cc,a,61.19701680098965
hugg,2001,cc,a,108.6516697441028
hugg,2009,cc,a,25.248478400019465
hugg,2005,cs,a,56.179123290250686
hugg,2019,cc,a,30.75702023795761
hugg,2009,cs,a,13.953109395822906
hugg,2015,cc,a,34.308601624208535
hugg,2005,cc,a,58.0867509930137
hugg,2000,cc,a,103.57722439276196
hugg,2015,cs,a,44.069296414273545
hugg,2000,cs,a,86.89557072155895
klad,2005,cs,a,3.465231495153816
klad,2001,cc,a,16.088408333488072
klad,2001,cs,a,27.1748606884601
klad,2009,cc,a,20.044193760290398
klad,2016,cc,a,33.915801130624
klad,2006,cs,a,38.24939012784659
klad,2015,cc,a,31.029578972361833
klad,2019,cc,a,20.320348794687046
klad,2013,cc,a,28.635528579579955
klad,2015,cs,a,63.869554824252944
klad,2016,cs,a,49.37925927424171
klad,2019,cs,a,30.691376815173058
klad,2014,cc,a,20.825205338116806
klad,2003,cs,a,40.55774593371759
klad,2009,cs,a,46.28807539747506
klad,2014,cs,a,41.54517302072213
klad,2013,cs,a,65.72629526042738
klad,2005,cc,a,36.52286031312967
