term,contrast,null.value,estimate,std.error,df,statistic,p.value,parameter
rotation,cc - cs,0,-7.27870396428057,0.5386739502866983,285,-13.512262771211839,0,a
rotation,cc - cs,0,-0.023089486082330666,0.007725477316900597,1758,-2.98874556680389,0.003,b
rotation,cc - cs,0,12.300846229115036,1.2511823730618397,1758,9.83137749855997,0,xs
rotation,cc - cs,0,0.18308225502819828,0.01565232557191773,1758,11.696808514938585,0,c
