rotation,estimate,std.error,df,statistic,parameter
cc,5.654421497881543,1.9154711287985127,285,2.951974275607225,a
cs,12.933125462162113,1.9175806035058938,285,6.744501607137978,a
cc,0.08355317126277852,0.018144055690159387,1758,4.604988691039701,b
cs,0.10664265734510918,0.018193050429096642,1758,5.861724935063812,b
cc,128.59216086397493,0.6153623094035006,1758,208.9698359794335,xs
cs,116.29131463485989,1.0922453838942532,1758,106.46995295163339,xs
cc,0.5860442127248939,0.06265036699046207,1758,9.354202391409991,c
cs,0.4029619576966956,0.06270317521384522,1758,6.426500034845434,c
