eu,site_id,rotation,crop,name,blin,expf,explin,is_null
gent_2000cc,gent,cc,corn,leaching_kgha,16.65003105419198,46.742954654361704,45.74941024408985,FALSE
gent_2000cs,gent,cs,corn,leaching_kgha,12.057199530832857,43.293703559163674,39.74017786384729,FALSE
gent_2001cc,gent,cc,corn,leaching_kgha,20.381423847838924,54.10039145803156,48.664019811733375,FALSE
gent_2001cs,gent,cs,corn,leaching_kgha,29.094052930759492,49.30517348388198,46.407518293360994,FALSE
gent_2002cc,gent,cc,corn,leaching_kgha,10.289705187890618,41.55881894287099,38.02097365951378,FALSE
gent_2002cs,gent,cs,corn,leaching_kgha,19.346533231541066,38.37691340756423,37.73161380785009,FALSE
gent_2003cc,gent,cc,corn,leaching_kgha,16.57643966521636,50.90336886927516,44.56508213006581,FALSE
gent_2003cs,gent,cs,corn,leaching_kgha,16.662444155057297,47.323808565450946,46.116753910309534,FALSE
gent_2004cc,gent,cc,corn,leaching_kgha,15.221464721844455,53.5638752335249,47.50477512381997,FALSE
gent_2004cs,gent,cs,corn,leaching_kgha,15.341181311774843,47.37624714456941,43.997517625563695,FALSE
gent_2005cc,gent,cc,corn,leaching_kgha,19.151819304250196,47.25060465010323,46.888217025285584,FALSE
gent_2005cs,gent,cs,corn,leaching_kgha,35.06684684853225,42.78493037665211,44.19328865149685,FALSE
gent_2006cc,gent,cc,corn,leaching_kgha,30.640147091063696,59.41211643552729,47.76327380813542,FALSE
gent_2007cc,gent,cc,corn,leaching_kgha,26.11459341208658,55.94060646801683,50.61663286735606,FALSE
gent_2007cs,gent,cs,corn,leaching_kgha,28.953210046801267,50.91330620563739,49.09895897241373,FALSE
gent_2008cc,gent,cc,corn,leaching_kgha,21.399872224122433,56.76508587737991,40.62083903124122,FALSE
gent_2008cs,gent,cs,corn,leaching_kgha,7.980716376369284,50.869497514018434,45.02440552042447,FALSE
gent_2009cc,gent,cc,corn,leaching_kgha,9.860416678866427,51.37483067186971,40.26519051228762,FALSE
gent_2009cs,gent,cs,corn,leaching_kgha,21.199742596703473,52.664429065171575,48.57599853593317,FALSE
gent_2010cc,gent,cc,corn,leaching_kgha,14.837811915308606,54.34180482277583,40.12313927338858,FALSE
gent_2010cs,gent,cs,corn,leaching_kgha,16.914721975910297,48.74746595808362,45.53273947462773,FALSE
gent_2011cc,gent,cc,corn,leaching_kgha,3.803079742176842,42.72709926805568,37.717309630597434,FALSE
gent_2011cs,gent,cs,corn,leaching_kgha,-3.848418436166577,42.2293101968125,39.89243390880284,FALSE
gent_2012cc,gent,cc,corn,leaching_kgha,28.98064120109088,43.435667094274066,40.42392073409538,FALSE
gent_2012cs,gent,cs,corn,leaching_kgha,3.1555333870442084,33.418731575294814,34.51801375245907,FALSE
gent_2013cc,gent,cc,corn,leaching_kgha,1.1836006359275792,50.264755579790695,40.57602555735809,FALSE
gent_2013cs,gent,cs,corn,leaching_kgha,35.60777660553661,45.21791404395463,39.94722762403629,FALSE
gent_2014cc,gent,cc,corn,leaching_kgha,6.5793079271870045,56.00790423954838,43.188252924581974,FALSE
gent_2014cs,gent,cs,corn,leaching_kgha,42.89670659930202,51.2083468086124,41.549879882599704,FALSE
gent_2015cc,gent,cc,corn,leaching_kgha,28.89958449794779,59.01794903222623,42.49019268359157,FALSE
gent_2015cs,gent,cs,corn,leaching_kgha,34.49178045204699,49.50873669658789,31.51020887874207,FALSE
gent_2016cc,gent,cc,corn,leaching_kgha,13.198253305594214,57.591551207031394,44.869164362181806,FALSE
gent_2017cc,gent,cc,corn,leaching_kgha,16.20409203614347,52.92051147879862,44.70886178327494,FALSE
gent_2017cs,gent,cs,corn,leaching_kgha,32.5432326389458,45.10801452905558,43.18225673498322,FALSE
gent_2018cc,gent,cc,corn,leaching_kgha,7.00224858600327,60.8465738443478,51.09396369011691,FALSE
gilm_2001cc,gilm,cc,corn,leaching_kgha,-2.8243066917306585,55.003823585780246,34.75145403287334,FALSE
gilm_2001cs,gilm,cs,corn,leaching_kgha,44.89282135554397,52.41364589576482,36.499798373479194,FALSE
gilm_2002cc,gilm,cc,corn,leaching_kgha,10.385297635920962,54.96970668872435,39.8387041281792,FALSE
gilm_2002cs,gilm,cs,corn,leaching_kgha,24.267301709781314,49.384210682123864,40.520865661767246,FALSE
gilm_2003cc,gilm,cc,corn,leaching_kgha,26.0310399995072,56.19869670059827,42.977717696406835,FALSE
gilm_2003cs,gilm,cs,corn,leaching_kgha,35.882283667840454,46.78789500432293,41.0128248365695,FALSE
gilm_2004cc,gilm,cc,corn,leaching_kgha,10.817632468886556,54.8360942823122,41.39804060621734,FALSE
gilm_2004cs,gilm,cs,corn,leaching_kgha,15.60839816613537,46.34845446203966,42.102387903831605,FALSE
gilm_2005cc,gilm,cc,corn,leaching_kgha,6.414806531982215,52.1878424240103,42.83174790476804,FALSE
gilm_2005cs,gilm,cs,corn,leaching_kgha,42.65657209914592,41.66230503930565,32.477163806465214,FALSE
gilm_2006cc,gilm,cc,corn,leaching_kgha,30.96333429177406,58.7577850553602,46.331421811733506,FALSE
gilm_2006cs,gilm,cs,corn,leaching_kgha,8.52021828533777,51.64697670030501,42.67846819479102,FALSE
gilm_2007cc,gilm,cc,corn,leaching_kgha,27.636220292130357,59.47886806943856,49.379736237669356,FALSE
