site_id,year,rotation,term,estimate,std.error,statistic,p.value
gent,2000,cc,a,96.58383333333333,0.45463701526364453,212.44164045315196,2.299943491267149e-7
gent,2000,cc,b,0.8453839285714285,0.006288577102448367,134.4316710758449,9.075685703711698e-7
gent,2000,cc,xs,120.49710272881339,0.9805342886801983,122.88922898453944,1.1880255178459113e-6
gent,2000,cc,c,0.009783254222320471,0.005232572869020191,1.869683321610847,0.15830314118817218
gent,2001,cc,a,38.151,7.088465418827724,5.382124020619027,0.012563398754555814
gent,2001,cc,b,1.2582142857142855,0.17901078449497979,7.028706618229312,0.005916557881117406
gent,2001,cc,xs,105.19840401319475,11.868015525516439,8.86402649095094,0.0030271118667223734
gent,2001,cc,c,-0.080704601896448,0.04861411947001735,-1.6601062155660844,0.19547646048016593
gent,2002,cc,a,77.24366666666667,3.788354679014559,20.389766326409433,2.5792063469924696e-4
gent,2002,cc,b,0.8732321428571426,0.05240083779053692,16.66446911302704,4.704298052451257e-4
gent,2002,cc,xs,128.921594230553,7.802742339506259,16.52260046801839,4.825451608381766e-4
gent,2002,cc,c,0.0017273981675681683,0.043601469405525624,0.03961788882622508,0.9708868374363407
gent,2003,cc,a,49.474999999999994,1.4477254554330767,34.174297215213294,5.5085192879503315e-5
gent,2003,cc,b,1.2303035714285717,0.02002505920990305,61.43819893526937,9.500386498975655e-6
gent,2003,cc,xs,113.9929877752785,2.156013436609569,52.87211380024502,1.4901559543987072e-5
gent,2003,cc,c,0.010647698421459071,0.016662367307457522,0.6390267496199964,0.5682517859351441
gent,2004,cc,a,38.67916666666666,8.979963087037428,4.307274572486831,0.023036352896833423
gent,2004,cc,b,1.1237589285714287,0.12421159816304753,9.047133642836766,0.002852060709539439
gent,2004,cc,xs,137.25062603706525,14.433507939363105,9.509166213346857,0.0024661410353629897
gent,2004,cc,c,0.003567115575670468,0.10335346581225079,0.034513748984000184,0.9746354775036447
gent,2005,cc,a,41.785500000000006,2.8267733707868676,14.782048123075565,6.716726785881759e-4
gent,2005,cc,b,1.0020624999999999,0.03910016495914337,25.62808880850189,1.3030070681434945e-4
gent,2005,cc,xs,120.15372738910456,5.129739057032669,23.422970652742766,1.704913772045506e-4
gent,2005,cc,c,0.008653990506678462,0.03253430132227714,0.26599589218019676,0.8074756230560121
gent,2005,cs,a,79.69,10.217268799767778,7.799540323516909,0.004386739933926765
gent,2005,cs,b,1.3755357142857143,0.25802500191148336,5.3310171653737575,0.012900045986504242
gent,2005,cs,xs,76.44847401015106,11.817282578801594,6.469209270436504,0.00749490009035309
gent,2005,cs,c,-0.1334321003913307,0.0700720814366806,-1.90421202932161,0.15299529103366172
gent,2006,cc,a,102.721,0.009605369964205128,10694.122181945593,1.8031643286944742e-12
gent,2006,cc,b,0.9789999999999995,2.4257222276767983e-4,4035.9114033333617,3.354638894651655e-11
gent,2006,cc,xs,89.02439702766691,0.01921181319240992,4633.836282711623,2.2164024214539106e-11
gent,2006,cc,c,0.007910577212522597,6.587555633033025e-5,120.08364943220116,1.273241250041552e-6
gent,2007,cc,a,43.40383333333333,4.429435272952016,9.79895419137859,0.0022588319108367027
gent,2007,cc,b,1.2043482142857143,0.061268318018738804,19.656949190564795,2.876675465519931e-4
gent,2007,cc,xs,115.43952352147727,6.711138401823182,17.20118355629745,4.280916516624995e-4
gent,2007,cc,c,0.00803372336902525,0.05097988517474585,0.15758614091592643,0.8847921638109926
gent,2008,cc,a,44.099,2.571989669087835,17.145869802672983,4.3221452768948943e-4
gent,2008,cc,b,1.0850357142857143,0.03557597555355254,30.49911344391412,7.743385203623691e-5
gent,2008,cc,xs,146.14907912244635,4.340024498616863,33.67471293515119,5.756811730948642e-5
gent,2008,cc,c,0.0064608124517053726,0.029601908577692133,0.21825661797274154,0.8412329136699063
gent,2009,cc,a,30.529333333333334,0.9851234025136124,30.990364512136825,7.38184910726472e-5
gent,2009,cc,b,0.8385892857142856,0.013626309042480028,61.541924750127336,9.452460489528477e-6
gent,2009,cc,xs,126.58727974567012,2.114054763391563,59.878902825860116,1.0261559385317158e-5
gent,2009,cc,c,0.0018081465945468834,0.011338122096460517,0.15947496235830289,0.8834266560175947
gent,2010,cc,a,39.563833333333335,5.048024614149014,7.837488197351615,0.00432569130063406
gent,2010,cc,b,1.2547767857142855,0.06982469736372948,17.97038631156432,3.758185138929598e-4
gent,2010,cc,xs,115.95649068888723,7.286855003311987,15.913105260936746,5.395926350696643e-4
gent,2010,cc,c,-1.1259520918338421e-5,0.05809944142542961,-1.9379740393528515e-4,0.9998575385229926
gent,2011,cc,a,78.35150000000002,5.550632425699703,14.115778886245229,7.701314182256823e-4
gent,2011,cc,b,1.0146339285714285,0.07677681052019227,13.215369610913706,9.361648584786049e-4
gent,2011,cc,xs,128.0491412047153,9.87719105584245,12.964125172912704,9.908683822222398e-4
gent,2011,cc,c,0.005818909371895479,0.06388412659223823,0.09108537100360801,0.9331658119006008
gent,2012,cc,a,34.848,0.13054107761740857,266.9504544932052,1.1591958380900502e-7
gent,2012,cc,b,0.8710357142857144,0.0032966600430953236,264.21763327099853,1.1955368218229954e-7
gent,2012,cc,xs,89.34683475136917,0.2939470944811501,303.9554954917192,7.852787117618614e-8
gent,2012,cc,c,0.006019735851896385,8.952769278074594e-4,6.723881365555536,0.006715314231349018
gent,2013,cc,a,54.189,0.32303133039600906,167.75153027283415,4.6710629275027526e-7
gent,2013,cc,b,1.3224285714285715,0.008157773009240366,162.10656633013048,5.176180745780355e-7
