site,year,rotation,a,b,xs
gent,2012,cc,34.69234632186663,0.8711600929445218,90.51144586980763
gent,2012,cs,58.74663351533925,0.5849109186748034,92.99401017088289
gent,2009,cc,30.260566981019284,0.8492088846754253,125.40544827017615
gent,2009,cs,74.38434909697168,1.1213846875635805,71.10611977394575
gent,2005,cc,41.668825144918515,1.0073133095111713,120.56475839549404
gent,2001,cs,83.11137313749569,1.4526465635752444,59.083651812675306
gent,2001,cc,38.9012659319134,1.2321654253839611,99.93981246839704
gent,2019,cc,35.99974662106436,1.220009406965907,115.37524785266943
gent,2019,cs,91.70050220504703,1.4247667624447553,60.472072002368726
gent,2016,cc,61.89444841216138,1.3757884594057346,86.41146340983482
gent,2007,cc,43.62368667806504,1.2024539466620747,116.21415216913053
gent,2010,cc,39.9274644176037,1.2506931279900837,116.01967927428174
gent,2014,cs,90.44448792348894,1.4547157699359408,65.32901771179073
gent,2010,cs,110.09647287445623,1.2741867557222555,59.547665392398535
gent,2014,cc,10.829644908246152,1.4146700859385497,124.43228891186646
gent,2013,cs,115.71814172394363,1.2596009353231734,56.95332245149822
gent,2016,cs,105.75257714746758,1.4281778167959376,57.87568184120027
gent,2005,cs,80.33701114950244,1.356369943571452,63.85251425295183
gent,2015,cc,46.60013297754675,1.1444701919017646,125.7708609839948
gent,2013,cc,54.76636448059389,1.2991416236004372,104.72239455826538
gent,2015,cs,104.19603504886722,1.2284397596748589,70.37784300473945
gent,2018,cc,45.623172139984334,1.2747314131947816,114.08916063214569
gent,2006,cc,101.59700919414259,0.9914112840890876,90.14064732885986
gent,2003,cc,49.64631184508329,1.2283874732438502,115.06476582129527
gent,2006,cs,143.8031886638386,0.8530861481364678,56.15351338605709
gent,2011,cs,135.9332255762541,0.9947871170352731,56.7908227603617
gent,2002,cc,76.2655440166946,0.8913706426817583,127.4494412504002
gent,2004,cc,38.62825901827513,1.130508777922035,136.63828866836243
gent,2002,cs,114.64927228592629,1.221707161887978,64.40914126599122
gent,2007,cs,80.8063077082788,1.6928821661109368,65.5077045210852
gent,2000,cs,117.3107725163407,1.286860222275715,63.71723723818325
gent,2000,cc,95.33507311901354,0.8647895756689539,120.44517457259809
gent,2018,cs,105.3680954361954,1.5053064875263662,62.54415178622707
gent,2004,cs,96.8058026490952,1.5091462501105117,69.70096805163621
gent,2008,cc,43.745617811201484,1.098049343143781,145.05625685354897
