ApsimVersion = 7.9 r0
Title = Masarik_CS_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        952.000        650.000          0.000            367.085                15.2           4.131           33.789
     31/12/1995           1995        922.000        545.000          0.000            265.820                27.2          10.237          129.624
     31/12/1996           1996        824.000        532.000          0.000            424.791                43.3          10.187           50.416
     31/12/1997           1997        818.000        564.000          0.000            236.213                19.2           8.123           97.499
     31/12/1998           1998       1023.000        561.000          0.000            464.013                44.7           9.629           59.399
     31/12/1999           1999        965.000        539.000          0.000            276.916                10.7           3.847          142.241
     31/12/2000           2000       1108.000        785.000          0.000            520.291                 4.2           0.801           29.261
     31/12/2001           2001       1148.000        773.000          0.000            334.243                 4.3           1.288           93.555
     31/12/2002           2002        745.000        409.000          0.000            360.998                 2.1           0.583           60.318
     31/12/2003           2003        904.000        416.000          0.000            293.491                 3.5           1.180           83.936
     31/12/2004           2004       1072.000        722.000          0.000            501.970                 4.8           0.954           52.276
     31/12/2005           2005        739.000        439.000          0.000            233.205                 3.3           1.395          118.019
     31/12/2006           2006       1081.000        679.000          0.000            481.175                 6.1           1.269           63.114
     31/12/2007           2007       1127.000        733.000          0.000            381.691                 3.3           0.852           76.775
     31/12/2008           2008       1272.000        713.000          0.000            564.957                 7.1           1.262           41.540
     31/12/2009           2009       1009.000        516.000          0.000            324.851                 3.6           1.100           54.167
     31/12/2010           2010       1110.000        831.000          0.000            525.577                 2.3           0.430           44.071
     31/12/2011           2011        867.000        407.000          0.000            312.399                 3.6           1.151           98.049
     31/12/2012           2012        705.500        378.000          0.000            251.716                 2.5           0.994           70.565
     31/12/2013           2013       1051.000        525.000          0.000            364.498                 5.9           1.617           70.216
     31/12/2014           2014        914.000        546.000          0.000            455.915                 1.8           0.403           48.890
     31/12/2015           2015       1014.000        591.000          0.000            296.009                 1.8           0.591           96.072
     31/12/2016           2016       1138.500        832.000          0.000            535.683                 1.9           0.355           53.131
     31/12/2017           2017        939.000        509.000          0.000            316.121                 2.8           0.896           73.124
     31/12/2018           2018       1193.000        767.000          0.000            571.875                 2.2           0.385           49.186
     31/12/2019           2019       1246.000        719.000          0.000            420.488                 3.6           0.861           48.557
