ApsimVersion = 7.9 r0
Title = RandIragCS_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        880.000        657.000        300.000             83.669                 8.7          10.451           68.387
     31/12/1995           1995       1051.000        719.000        300.000            157.998                 8.9           5.639          146.636
     31/12/1996           1996        795.000        566.000        300.000            269.041                20.1           7.455           61.136
     31/12/1997           1997        687.000        425.000        300.000             36.301                 0.8           2.298          126.450
     31/12/1998           1998        891.000        652.000        300.000            214.367                18.3           8.523           80.099
     31/12/1999           1999        740.000        534.000        300.000             34.063                 1.4           4.113          159.899
     31/12/2000           2000        833.000        608.000        300.000            285.549                75.1          26.291           15.126
     31/12/2001           2001        959.000        466.000        300.000            171.603                36.6          21.357          128.227
     31/12/2002           2002        804.000        643.000        300.000            225.063                97.9          43.485           68.531
     31/12/2003           2003        760.000        567.000        300.000             45.508                 2.5           5.436          167.670
     31/12/2004           2004        893.500        765.000        300.000            363.873                77.9          21.410           37.799
     31/12/2005           2005       1005.000        795.000        300.000            102.292                23.6          23.080          176.829
     31/12/2006           2006        731.000        521.000        300.000            186.056                62.7          33.725           80.615
     31/12/2007           2007        917.000        662.000        300.000            159.013                14.4           9.081          182.199
     31/12/2008           2008        815.000        566.000        300.000            245.127                68.2          27.802           61.922
     31/12/2009           2009        869.000        680.000        300.000             97.862                15.3          15.657          168.903
     31/12/2010           2010       1201.000       1032.000        300.000            436.407                74.4          17.041           71.166
     31/12/2011           2011        829.000        539.000        300.000            145.334                 6.1           4.205          165.480
     31/12/2012           2012        825.000        579.000        300.000            246.468                71.1          28.861           71.385
     31/12/2013           2013        821.000        542.000        300.000            122.057                 7.6           6.243          140.506
     31/12/2014           2014        819.000        601.000        300.000            323.124                86.8          26.872           54.988
     31/12/2015           2015       1009.000        838.000        300.000             86.682                17.2          19.856          177.259
     31/12/2016           2016       1027.000        800.000        300.000            277.226                71.5          25.794           79.480
     31/12/2017           2017        894.000        753.000        300.000             64.635                 8.3          12.845          163.195
     31/12/2018           2018       1093.000        845.000        300.000            354.423                76.5          21.575           71.536
     31/12/2019           2019       1325.000        802.000        300.000            307.792                25.0           8.120          161.347
