ApsimVersion = 7.9 r0
Title = Hoffman_CS_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1013.000        482.000          0.000            256.603                16.2           6.320                  64.831                 0.000
     31/12/1995           1995        794.000        359.000          0.000             78.435                 4.1           5.169                   0.000               125.351
     31/12/1996           1996        997.000        495.000          0.000            371.571                17.1           4.594                  66.281                 0.000
     31/12/1997           1997        838.000        365.000          0.000            140.943                 4.4           3.114                   0.000               146.201
     31/12/1998           1998       1112.000        567.000          0.000            456.896                14.8           3.249                  59.652                 0.000
     31/12/1999           1999        847.000        395.000          0.000             76.265                 1.4           1.875                   0.000                65.243
     31/12/2000           2000        970.000        625.000          0.000            300.097                 7.4           2.481                  54.026                 0.000
     31/12/2001           2001        977.000        650.000          0.000            241.350                13.9           5.760                   0.000                73.563
     31/12/2002           2002        960.000        428.000          0.000            406.414                 8.1           1.987                  53.793                 0.000
     31/12/2003           2003       1133.000        695.000          0.000            188.881                 4.6           2.441                   0.000                68.841
     31/12/2004           2004       1117.000        707.000          0.000            533.168                 7.6           1.420                  64.100                 0.000
     31/12/2005           2005        990.000        544.000          0.000            256.994                11.6           4.520                   0.000                36.664
     31/12/2006           2006       1071.000        596.000          0.000            458.343                16.7           3.634                  56.848                 0.000
     31/12/2007           2007       1088.000        502.000          0.000            326.396                19.6           6.013                   0.000                79.641
     31/12/2008           2008       1159.000        598.000          0.000            529.260                15.7           2.958                  65.983                 0.000
     31/12/2009           2009       1107.000        483.000          0.000            245.975                 8.6           3.492                   0.000                80.130
     31/12/2010           2010       1015.000        660.000          0.000            477.715                 5.0           1.048                  35.196                 0.000
     31/12/2011           2011       1348.000        683.000          0.000            330.546                15.2           4.589                   0.000                89.342
     31/12/2012           2012        871.500        581.000          0.000            231.615                 4.4           1.888                  36.823                 0.000
     31/12/2013           2013       1128.000        499.000          0.000            294.576                13.4           4.566                   0.000                81.857
     31/12/2014           2014       1287.000        754.000          0.000            707.278                13.5           1.908                  61.049                 0.000
     31/12/2015           2015       1203.000        656.000          0.000            327.632                 7.7           2.361                   0.000                72.920
     31/12/2016           2016        988.500        544.000          0.000            315.411                 5.4           1.704                  50.630                 0.000
     31/12/2017           2017       1279.000        702.000          0.000            349.272                19.5           5.594                   0.000               101.772
     31/12/2018           2018       1130.000        666.000          0.000            513.646                13.5           2.621                  55.927                 0.000
     31/12/2019           2019       1040.000        392.000          0.000            292.003                13.1           4.481                   0.000                75.298
