ApsimVersion = 7.9 r0
Title = Sutherland_CS_spring_NR168
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994              ?        550.460        168.000                  ?                   ?               ?                       ?                     ?
     31/12/1995           1995        802.428        508.853        168.000            115.613                 2.8           2.465                   0.000               211.008
     31/12/1996           1996        682.592        494.835        168.000            110.273                 3.5           3.153                  59.241                 0.000
     31/12/1997           1997        659.417        450.196        168.000             80.360                 1.6           1.992                   0.000               224.087
     31/12/1998           1998        827.994        556.754        168.000            152.656                 7.5           4.893                  65.596                 0.000
     31/12/1999           1999        566.186        341.638        168.000             54.135                 0.7           1.370                   0.000               201.904
     31/12/2000           2000        588.510        374.668        168.000             98.516                 1.4           1.405                  56.957                 0.000
     31/12/2001           2001        760.490        400.054        168.000            124.190                 3.6           2.858                   0.000               141.716
     31/12/2002           2002        601.310        475.078        168.000             50.116                 2.5           5.000                  67.534                 0.000
     31/12/2003           2003        679.553        450.336        168.000             57.588                 1.5           2.590                   0.000               208.497
     31/12/2004           2004        982.960        745.996        168.000            130.257                 2.5           1.953                   1.799                 0.000
     31/12/2005           2005        795.539        567.211        168.000            118.540                10.2           8.545                   0.000               217.380
     31/12/2006           2006        619.500        325.630        168.000            112.246                14.7          13.084                  64.694                 0.000
     31/12/2007           2007        926.102        587.258        168.000            193.014                 3.3           1.726                   0.000               198.840
     31/12/2008           2008        794.702        553.916        168.000            195.061                 6.2           3.195                  52.936                 0.000
     31/12/2009           2009        611.608        404.596        168.000            105.472                 1.2           1.157                   0.000               244.456
     31/12/2010           2010        994.688        778.518        168.000            280.487                 2.3           0.802                  55.748                 0.000
     31/12/2011           2011        510.786        375.414        168.000             55.816                 0.4           0.628                   0.000               230.433
     31/12/2012           2012        619.490        386.080        168.000            104.517                 1.1           1.033                  62.992                 0.000
     31/12/2013           2013        779.258        553.972        168.000            105.177                 3.4           3.197                   0.000               225.614
     31/12/2014           2014        662.412        530.606        168.000             68.671                 0.8           1.170                  50.156                 0.000
     31/12/2015           2015        824.760        486.156        168.000            168.768                 6.8           3.993                   0.000               215.394
     31/12/2016           2016        904.802        489.310        168.000            178.076                 6.4           3.629                  63.203                 0.000
     31/12/2017           2017        621.748        406.912        168.000             57.906                 0.8           1.323                   0.000               236.942
     31/12/2018           2018        951.214        624.824        168.000            214.882                 5.3           2.461                  69.304                 0.000
     31/12/2019           2019        883.171        557.542        168.000            173.427                 3.6           2.098                   0.000               214.686
