ApsimVersion = 7.9 r0
Title = Sutherland_CS_spring_NR56
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994              ?        550.460         56.000                  ?                   ?               ?                ?
     31/12/1995           1995        802.428        508.853         56.000            115.613                 2.8           2.463          185.961
     31/12/1996           1996        682.592        494.835         56.000            115.616                 0.9           0.742           53.833
     31/12/1997           1997        659.417        450.196         56.000             79.602                 1.3           1.643          166.503
     31/12/1998           1998        827.994        556.754         56.000            154.518                 2.9           1.895           62.522
     31/12/1999           1999        566.186        341.638         56.000             53.808                 0.7           1.214          173.987
     31/12/2000           2000        588.510        374.668         56.000             95.876                 0.7           0.701           56.244
     31/12/2001           2001        760.490        400.054         56.000            133.313                 3.0           2.214          140.344
     31/12/2002           2002        601.310        475.078         56.000             46.645                 0.6           1.217           60.654
     31/12/2003           2003        679.553        450.336         56.000             56.630                 0.3           0.608          143.820
     31/12/2004           2004        982.960        745.996         56.000            124.640                 1.7           1.329            1.799
     31/12/2005           2005        795.539        567.211         56.000            128.211                 3.0           2.364          195.867
     31/12/2006           2006        619.500        325.630         56.000            112.837                 4.0           3.516           61.285
     31/12/2007           2007        926.102        587.258         56.000            226.631                 2.4           1.044          116.000
     31/12/2008           2008        794.702        553.916         56.000            184.549                 4.2           2.291           51.569
     31/12/2009           2009        611.608        404.596         56.000            124.690                 1.1           0.862          136.904
     31/12/2010           2010        994.688        778.518         56.000            273.731                 1.8           0.650           55.023
     31/12/2011           2011        510.786        375.414         56.000             55.810                 0.3           0.533          145.716
     31/12/2012           2012        619.490        386.080         56.000             97.349                 0.8           0.778           61.772
     31/12/2013           2013        779.258        553.972         56.000            104.739                 2.6           2.464          151.745
     31/12/2014           2014        662.412        530.606         56.000             70.588                 0.5           0.692           47.076
     31/12/2015           2015        824.760        486.156         56.000            183.784                 1.8           0.962          158.957
     31/12/2016           2016        904.802        489.310         56.000            176.392                 2.2           1.262           58.018
     31/12/2017           2017        621.748        406.912         56.000             78.852                 0.8           0.960          156.671
     31/12/2018           2018        951.214        624.824         56.000            214.565                 3.3           1.524           66.415
     31/12/2019           2019        883.171        557.542         56.000            196.929                 2.6           1.339          141.325
