ApsimVersion = 7.9 r0
Title = Huggins_CS_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        668.000        460.000          0.000            437.761                50.7          11.573           56.686
     31/12/1995           1995        876.000        544.000          0.000            465.494               104.7          22.494          129.250
     31/12/1996           1996        843.000        552.000          0.000            508.993                79.3          15.584           59.005
     31/12/1997           1997        616.000        457.000          0.000            334.211                21.0           6.282          181.633
     31/12/1998           1998        646.000        454.000          0.000            371.187                28.1           7.561           64.428
     31/12/1999           1999        552.000        395.000          0.000            287.380                10.8           3.771          153.651
     31/12/2000           2000        686.000        503.000          0.000            396.795                13.7           3.455           20.233
     31/12/2001           2001        798.000        398.000          0.000            466.638                19.1           4.095          157.302
     31/12/2002           2002        612.000        467.000          0.000            367.815                 5.6           1.523           52.840
     31/12/2003           2003        523.000        369.000          0.000            334.033                 5.7           1.695           84.898
     31/12/2004           2004        720.500        475.000          0.000            438.503                 7.2           1.640           38.564
     31/12/2005           2005        864.000        651.000          0.000            462.538                 7.7           1.672           99.589
     31/12/2006           2006        676.000        478.000          0.000            404.116                10.3           2.551           57.288
     31/12/2007           2007        711.000        540.000          0.000            467.086                10.5           2.243           59.751
     31/12/2008           2008        634.000        386.000          0.000            400.640                 9.7           2.432           64.299
     31/12/2009           2009        651.000        501.000          0.000            405.416                 5.6           1.380           56.164
     31/12/2010           2010        960.000        758.000          0.000            494.223                 9.5           1.932           54.127
     31/12/2011           2011        615.000        382.000          0.000            384.417                11.9           3.108           89.571
     31/12/2012           2012        687.500        460.000          0.000            355.155                 7.6           2.147           57.484
     31/12/2013           2013        576.000        368.000          0.000            406.829                10.6           2.613           77.849
     31/12/2014           2014        711.000        486.000          0.000            454.719                 5.8           1.280           55.143
     31/12/2015           2015        792.000        601.000          0.000            430.872                 7.5           1.741           85.587
     31/12/2016           2016        968.500        758.000          0.000            510.345                10.0           1.967           52.920
     31/12/2017           2017        809.000        649.000          0.000            432.359                 6.9           1.593           70.248
     31/12/2018           2018       1062.000        787.000          0.000            616.915                11.1           1.800           48.013
     31/12/2019           2019        990.000        603.000          0.000            576.207                10.4           1.811           71.801
