ApsimVersion = 7.9 r0
Title = Kladivko_CS_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        390.000         56.000            110.068                 9.8           8.861                  33.022                 0.000
     31/12/1995           1995       1221.000        556.000         56.000             43.081                 5.8          13.473                   0.000               166.183
     31/12/1996           1996       1431.000        431.000         56.000            395.046                13.1           3.327                  33.303                 0.000
     31/12/1997           1997       1170.000        592.000         56.000             49.852                 2.4           4.868                   0.000               201.163
     31/12/1998           1998       1294.000        614.000         56.000            303.446                 3.1           1.031                  18.891                 0.000
     31/12/1999           1999        946.000        354.000         56.000             77.754                 3.0           3.876                   0.000               167.372
     31/12/2000           2000       1400.000        728.000         56.000            213.558                 3.0           1.413                  42.908                 0.000
     31/12/2001           2001       1285.000        851.000         56.000            124.581                 2.9           2.346                   0.000               146.537
     31/12/2002           2002       1401.000        554.000         56.000            354.930                 4.1           1.166                  37.193                 0.000
     31/12/2003           2003       1319.000        709.000         56.000             99.829                 2.1           2.127                   0.000               168.054
     31/12/2004           2004       1383.500        753.000         56.000            285.872                 3.7           1.291                  49.381                 0.000
     31/12/2005           2005       1240.000        597.000         56.000            124.280                 4.2           3.354                   0.000               100.684
     31/12/2006           2006       1535.000        801.000         56.000            329.568                 4.3           1.295                  35.335                 0.000
     31/12/2007           2007       1138.000        467.000         56.000            142.488                 4.1           2.877                   0.000               166.404
     31/12/2008           2008       1515.000        595.000         56.000            424.269                 6.8           1.597                  50.813                 0.000
     31/12/2009           2009       1395.000        890.000         56.000             27.310                 0.4           1.362                   0.000               169.186
     31/12/2010           2010        964.000        494.000         56.000            147.792                 3.1           2.080                  27.666                 0.000
     31/12/2011           2011       1489.000        403.000         56.000            289.415                 9.4           3.263                   0.000               161.101
     31/12/2012           2012        981.000        463.000         56.000             97.525                 1.0           1.034                  59.671                 0.000
     31/12/2013           2013       1237.000        550.000         56.000             83.333                 2.4           2.867                   0.000               171.600
     31/12/2014           2014       1271.000        669.000         56.000            188.079                 3.5           1.859                  44.860                 0.000
     31/12/2015           2015       1390.000        710.000         56.000            152.067                 6.3           4.152                   0.000               158.713
     31/12/2016           2016       1305.000        666.000         56.000            154.626                 1.4           0.879                  38.106                 0.000
     31/12/2017           2017       1413.000        656.000         56.000            103.079                 5.9           5.686                   0.000               199.781
     31/12/2018           2018       1487.000        737.000         56.000            283.578                 3.4           1.210                  38.082                 0.000
     31/12/2019           2019       1419.000        497.000         56.000            183.228                 4.0           2.183                   0.000               158.933
