ApsimVersion = 7.9 r0
Title = Gold_CS_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        910.000        541.000        112.000            185.503                14.8           7.993                  19.150                 0.000
     31/12/1995           1995        731.000        356.000        112.000            105.134                 8.6           8.133                   0.000               131.943
     31/12/1996           1996        968.000        504.000        112.000            210.108                12.4           5.880                  44.194                 0.000
     31/12/1997           1997        780.000        435.000        112.000             63.916                 0.7           1.051                   0.000               159.271
     31/12/1998           1998        710.000        282.000        112.000            165.903                 2.1           1.277                  45.527                 0.000
     31/12/1999           1999        796.000        454.000        112.000             81.745                 1.7           2.095                   0.000               196.752
     31/12/2000           2000        898.000        516.000        112.000            148.516                 1.7           1.136                  30.847                 0.000
     31/12/2001           2001        791.000        517.000        112.000            129.888                 3.1           2.392                   0.000               167.696
     31/12/2002           2002        807.000        432.000        112.000             70.448                 2.3           3.230                  61.687                 0.000
     31/12/2003           2003        709.000        292.000        112.000            120.885                 1.5           1.266                   0.000               147.228
     31/12/2004           2004        863.000        465.000        112.000            170.690                 2.3           1.352                  43.299                 0.000
     31/12/2005           2005        797.000        417.000        112.000            120.331                 3.8           3.126                   0.000               167.721
     31/12/2006           2006       1062.000        629.000        112.000            195.852                 9.1           4.659                  49.033                 0.000
     31/12/2007           2007        820.000        481.000        112.000             97.038                 2.0           2.040                   0.000               175.532
     31/12/2008           2008       1033.000        587.000        112.000            205.121                 5.6           2.754                  27.862                 0.000
     31/12/2009           2009        861.000        451.000        112.000             83.923                 1.0           1.230                   0.000               146.431
     31/12/2010           2010        678.000        445.000        112.000             60.000                 0.5           0.768                  47.629                 0.000
     31/12/2011           2011        979.000        530.000        112.000            130.598                 4.9           3.715                   0.000               135.651
     31/12/2012           2012        823.500        527.000        112.000             64.900                 2.4           3.734                  56.086                 0.000
     31/12/2013           2013        967.000        436.000        112.000            195.823                 7.0           3.572                   0.000               143.046
     31/12/2014           2014        950.000        527.000        112.000            145.630                 6.1           4.169                  40.875                 0.000
     31/12/2015           2015        813.000        542.000        112.000             59.456                 1.7           2.803                   0.000               157.041
     31/12/2016           2016        956.000        463.000        112.000            154.340                 6.9           4.497                  54.219                 0.000
     31/12/2017           2017        946.000        443.000        112.000            144.706                 5.5           3.788                   0.000               166.299
     31/12/2018           2018        868.000        451.000        112.000            144.476                 7.1           4.936                  53.718                 0.000
     31/12/2019           2019       1070.000        541.000        112.000            146.582                 4.7           3.182                   0.000               125.801
