ApsimVersion = 7.9 r0
Title = RandIragCS_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        880.000        657.000        112.000             83.669                 8.7          10.451                  68.387                 0.000
     31/12/1995           1995       1051.000        719.000        112.000            157.998                 8.9           5.639                   0.000               146.636
     31/12/1996           1996        795.000        566.000        112.000            269.041                20.1           7.455                  61.136                 0.000
     31/12/1997           1997        687.000        425.000        112.000             36.301                 0.8           2.298                   0.000               126.450
     31/12/1998           1998        891.000        652.000        112.000            214.367                18.3           8.523                  80.099                 0.000
     31/12/1999           1999        740.000        534.000        112.000             33.495                 1.4           4.073                   0.000               159.303
     31/12/2000           2000        833.000        608.000        112.000            335.434                18.2           5.431                  14.692                 0.000
     31/12/2001           2001        959.000        466.000        112.000            174.297                10.4           5.967                   0.000               127.719
     31/12/2002           2002        804.000        643.000        112.000            236.431                23.6           9.964                  65.440                 0.000
     31/12/2003           2003        760.000        567.000        112.000             45.857                 0.7           1.495                   0.000               166.574
     31/12/2004           2004        893.500        765.000        112.000            399.993                14.9           3.717                  35.660                 0.000
     31/12/2005           2005       1005.000        795.000        112.000            103.953                 2.7           2.608                   0.000               186.759
     31/12/2006           2006        731.000        521.000        112.000            188.222                12.6           6.676                  78.613                 0.000
     31/12/2007           2007        917.000        662.000        112.000            158.372                 2.3           1.433                   0.000               181.150
     31/12/2008           2008        815.000        566.000        112.000            253.835                14.1           5.537                  59.034                 0.000
     31/12/2009           2009        869.000        680.000        112.000             97.424                 1.2           1.217                   0.000               168.611
     31/12/2010           2010       1201.000       1032.000        112.000            465.767                 8.9           1.914                  65.236                 0.000
     31/12/2011           2011        829.000        539.000        112.000            143.616                 4.1           2.858                   0.000               164.555
     31/12/2012           2012        825.000        579.000        112.000            264.574                12.9           4.890                  71.110                 0.000
     31/12/2013           2013        821.000        542.000        112.000            120.455                 4.2           3.468                   0.000               138.856
     31/12/2014           2014        819.000        601.000        112.000            335.434                12.4           3.695                  51.402                 0.000
     31/12/2015           2015       1009.000        838.000        112.000             86.755                 2.6           2.940                   0.000               176.277
     31/12/2016           2016       1027.000        800.000        112.000            290.507                20.6           7.099                  76.789                 0.000
     31/12/2017           2017        894.000        753.000        112.000             64.247                 1.0           1.579                   0.000               161.861
     31/12/2018           2018       1093.000        845.000        112.000            374.565                14.5           3.860                  67.844                 0.000
     31/12/2019           2019       1325.000        802.000        112.000            305.948                 9.6           3.149                   0.000               160.982
