site,rotation,rate,crop,year,crop_yield,corn_buac,soy_buac,eo_annual,runoff_annual,drainage,gross_miner,net_miner,nloss_total,denitr,n_leach_annual,avg_wt,no3_at_harvest,no3_at_sowing
S,SC,500,soybean,2008,57.622,0,57.622,822.601,40.977,149.267,88.9,57.9,117.278,18.2,99.069,1057.976,412.9,567.4
S,SC,500,corn,2009,225.785,225.785,0,827.907,11.37,-117.767,139.3,132.5,32.284,76.8,-44.27,1322.986,694.8,403.1
S,SC,500,soybean,2010,59.505,0,59.505,819.068,95.377,336.649,88.7,53.3,274.322,26.5,247.607,869.99,486.1,627.7
S,SC,500,corn,2011,232.91,232.91,0,890.359,29.142,-184.423,157.7,145,-45.173,74.1,-118.741,1365.237,793.3,470.5
S,SC,500,soybean,2012,62.531,0,62.531,993.289,27.943,-191.586,169.6,123.6,-8.388,87.7,-96.477,1403.186,466.8,678.4
S,SC,500,corn,2013,221.471,221.471,0,883.576,141.769,-123.509,168.3,159.4,100.366,137.1,-36.524,1325.665,738.2,455.8
S,SC,500,soybean,2014,47.386,0,47.386,835.497,65.02,15.649,90,61.9,162.35,100.5,61.671,1185.848,459.7,641.3
S,SC,500,corn,2015,237.874,237.874,0,863.982,69.83,-32.702,177.8,166,251.51,135.6,116.036,1229.252,751.1,450
S,SC,500,soybean,2016,72.9,0,72.9,898.243,64.661,185.163,130.7,93.3,183.31,33.4,149.762,1022.703,508.3,667.2
S,SC,500,corn,2017,250.465,250.465,0,866.327,29.678,-157.475,166.5,156.4,-26.37,66.8,-92.981,1348.049,780.5,501.5
S,SC,500,soybean,2018,74.329,0,74.329,799.195,72.846,199.555,93.5,61.7,232.101,49.1,182.898,1003.888,515.2,704.3
S,SC,500,corn,2019,213.033,213.033,0,825.576,73.682,123.625,146.6,136.5,174.614,120.7,54.039,1078.167,729.2,526.6
S,SC,550,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,550,corn,2001,188.301,188.301,0,814.711,103.224,23.392,166.8,157.6,158.652,136,22.825,1176.118,414.6,44.1
S,SC,550,soybean,2002,74.575,0,74.575,912.657,17.123,-111.514,104,76.3,58.025,45.8,12.084,1313.634,123.1,350.5
S,SC,550,corn,2003,172.028,172.028,0,851.169,57.853,-132.337,138.9,121.6,113.785,118.2,-4.117,1322.521,439.3,222.7
S,SC,550,soybean,2004,45.45,0,45.45,843.507,134.17,266.098,75.9,40.9,209.923,57.4,152.276,937.75,246.6,361.1
S,SC,550,corn,2005,209.822,209.822,0,874.136,88.206,-58.251,182.8,174.2,145.005,132.4,12.85,1256.408,645.9,259.7
S,SC,550,soybean,2006,64.123,0,64.123,836.757,10.402,-17.44,119.5,93.7,90.674,47.2,43.364,1225.472,397.4,571.2
S,SC,550,corn,2007,188.485,188.485,0,893.398,143.162,72.818,161.7,145.2,307.231,126.9,180.258,1125.878,736.7,396.2
S,SC,550,soybean,2008,57.829,0,57.829,822.889,40.255,147.344,89,58,133.855,21.1,112.702,1059.917,499.1,661.9
S,SC,550,corn,2009,225.787,225.787,0,827.874,11.367,-117.655,139.9,133.1,32.858,87.9,-54.781,1322.871,820.6,486
S,SC,550,soybean,2010,59.696,0,59.696,819.206,94.263,335.787,88.9,53.2,324.612,31.3,293.079,870.942,577.1,741.7
S,SC,550,corn,2011,232.925,232.925,0,890.331,29.139,-184.247,158.4,145.6,-60.402,82,-141.716,1365.11,925.9,557
S,SC,550,soybean,2012,62.531,0,62.531,993.284,27.936,-191.548,169.6,123.7,-14.752,102.6,-117.766,1403.136,575.2,796.1
S,SC,550,corn,2013,221.471,221.471,0,883.587,141.795,-123.589,168.5,159.7,116.071,159.6,-43.3,1325.751,876.3,555.7
S,SC,550,soybean,2014,47.386,0,47.386,835.496,65.019,15.665,90.1,62,193.448,119.6,73.589,1185.826,562.9,765.4
S,SC,550,corn,2015,237.888,237.888,0,863.973,69.835,-32.687,178.3,166.5,292.834,157.7,135.305,1229.239,886.7,548.1
S,SC,550,soybean,2016,72.9,0,72.9,898.723,64.515,182.249,131.1,93.5,215.454,39,176.294,1025.753,621.3,789.6
S,SC,550,corn,2017,250.465,250.465,0,866.328,29.679,-157.555,166.8,156.7,-39.62,76.5,-115.897,1348.127,932,609.3
S,SC,550,soybean,2018,74.329,0,74.329,799.602,73.096,196.534,93.6,61.8,279.58,58.5,220.948,1006.93,641.6,843.2
S,SC,550,corn,2019,213.034,213.034,0,825.577,73.683,123.512,147.5,137.5,202.306,135.6,66.854,1078.278,882.5,646.3
S,SC,600,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,600,corn,2001,188.304,188.304,0,814.709,103.223,23.401,166.8,157.6,172.607,148.2,24.654,1176.11,454.8,44.5
S,SC,600,soybean,2002,74.575,0,74.575,912.655,17.123,-111.497,104,76.3,64.922,50.7,14.012,1313.617,143.7,385.2
S,SC,600,corn,2003,172.033,172.033,0,851.168,57.854,-132.351,139.1,121.8,124.905,130.7,-5.506,1322.539,500.8,245.3
S,SC,600,soybean,2004,45.45,0,45.45,843.56,134.232,265.764,75.6,40.6,244.825,66.3,178.196,938.102,292.8,413.2
S,SC,600,corn,2005,209.823,209.823,0,874.135,88.205,-58.257,183.3,174.8,158.786,146.3,12.714,1256.412,731.3,304.7
S,SC,600,soybean,2006,64.121,0,64.121,836.941,10.474,-18.632,120,94,98.854,53,45.762,1226.573,462.5,648.1
S,SC,600,corn,2007,188.486,188.486,0,893.401,143.164,72.773,162.9,146.4,347.546,141.2,206.305,1125.951,841.2,459
S,SC,600,soybean,2008,57.989,0,57.989,823.28,39.343,144.973,89.3,58.3,150.165,24.1,125.969,1062.289,586.2,757.3
S,SC,600,corn,2009,225.789,225.789,0,827.849,11.364,-117.518,140.5,133.8,33.455,99.1,-65.339,1322.738,947.5,569.9
S,SC,600,soybean,2010,59.844,0,59.844,819.362,93.236,334.912,89.1,53.1,375.993,36.2,339.502,871.864,670.4,856.9
S,SC,600,corn,2011,232.933,232.933,0,890.31,29.14,-184.027,159,146.3,-76.289,89.7,-165.314,1364.982,1061,645.8
S,SC,600,soybean,2012,62.531,0,62.531,993.281,27.932,-191.518,169.6,123.8,-20.632,118.1,-139.135,1403.1,688.4,916.1
S,SC,600,corn,2013,221.471,221.471,0,883.587,141.796,-123.584,168.6,159.7,132.733,182.9,-49.849,1325.745,1017.9,659.8
S,SC,600,soybean,2014,47.386,0,47.386,835.494,65.019,15.683,90.5,62.3,226.057,139.7,86.133,1185.801,670,892.8
S,SC,600,corn,2015,237.899,237.899,0,863.966,69.839,-32.668,179.7,167.9,335.916,180.6,155.446,1229.222,1026.5,650
S,SC,600,soybean,2016,72.9,0,72.9,899.044,65.612,179.285,131.6,93.8,248.209,44.8,203.179,1028.349,737,915.7
S,SC,600,corn,2017,250.465,250.465,0,866.329,29.678,-157.882,167.1,157,-52.995,86,-138.797,1348.447,1085.9,719.4
S,SC,600,soybean,2018,74.329,0,74.329,800.07,73.395,192.97,93.8,62.1,326.356,67.9,258.241,1010.524,770.6,984.7
S,SC,600,corn,2019,213.034,213.034,0,825.579,73.684,123.363,148.2,138.2,230.24,150.4,80.023,1078.426,1038.5,768.5
S,SC,650,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,650,corn,2001,188.305,188.305,0,814.708,103.222,23.408,166.8,157.6,186.438,160.2,26.464,1176.103,495.2,44.8
S,SC,650,soybean,2002,74.575,0,74.575,912.654,17.122,-111.486,104.3,76.7,71.94,55.8,15.972,1313.607,164.5,420
S,SC,650,corn,2003,172.033,172.033,0,851.174,57.865,-132.397,141.4,124.1,136.492,143.7,-6.87,1322.609,564.6,268.1
S,SC,650,soybean,2004,45.45,0,45.45,843.671,134.367,265.066,75.6,40.6,280.841,75.7,204.736,938.812,340.7,467.3
S,SC,650,corn,2005,209.824,209.824,0,874.135,88.205,-58.294,184.1,175.5,172.681,160.4,12.573,1256.447,818.5,351.3
S,SC,650,soybean,2006,64.118,0,64.118,837.092,10.535,-19.591,120.3,94.1,107.444,59.1,48.254,1227.54,531.5,726.6
S,SC,650,corn,2007,188.486,188.486,0,893.403,143.164,72.741,163.3,146.8,388.869,155.7,233.101,1126.008,948.4,525.3
S,SC,650,soybean,2008,60.462,0,60.462,822.235,38.123,141.245,89.4,58,163.661,26.6,137.026,1065.745,668.1,855.1
S,SC,650,corn,2009,225.79,225.79,0,827.449,11.322,-114.952,140.8,133.8,35.27,109.7,-74.095,1320.259,1068.3,648.3
S,SC,650,soybean,2010,59.845,0,59.845,819.579,92.404,334.103,90,53.8,425.824,41.8,383.768,872.662,768.2,966.2
S,SC,650,corn,2011,232.941,232.941,0,890.307,29.138,-184.02,160.7,148,-90.505,98.5,-188.207,1364.975,1200.7,738.5
S,SC,650,soybean,2012,62.531,0,62.531,993.277,27.928,-191.487,170.3,124.5,-23.881,135.1,-159.514,1403.066,807.2,1039.6
S,SC,650,corn,2013,221.471,221.471,0,883.585,141.788,-123.55,169,160.2,151.439,207.5,-55.749,1325.711,1163.9,768.4
S,SC,650,soybean,2014,47.386,0,47.386,835.493,65.018,15.702,91.2,63.1,260.426,160.7,99.392,1185.775,780.7,1024.2
S,SC,650,corn,2015,237.911,237.911,0,863.958,69.843,-32.648,181.5,169.7,380.404,204.3,176.245,1229.204,1169.5,755.2
S,SC,650,soybean,2016,72.9,0,72.9,899.239,65.485,178.165,132.3,94.2,283.18,50.8,232.14,1029.366,856.1,1044.9
S,SC,650,corn,2017,250.465,250.465,0,866.33,29.679,-157.924,167.5,157.4,-67.348,95.6,-162.739,1348.488,1243.3,832.8
S,SC,650,soybean,2018,74.329,0,74.329,800.324,73.564,191.116,94,62.3,373.784,77.4,296.128,1012.388,902.2,1129.6
S,SC,650,corn,2019,213.035,213.035,0,825.58,73.685,123.273,148.9,138.9,257.617,165,92.877,1078.513,1196.5,892.7
S,SC,700,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,700,corn,2001,188.306,188.306,0,814.707,103.221,23.414,166.8,157.6,200.147,172.2,28.258,1176.097,535.7,45.1
S,SC,700,soybean,2002,74.575,0,74.575,912.653,17.122,-111.476,104.4,76.8,79.916,61.3,18.38,1313.598,190.6,454.9
S,SC,700,corn,2003,172.033,172.033,0,851.18,57.873,-132.433,142.2,125,148.468,157.2,-8.339,1322.658,631.5,295.3
S,SC,700,soybean,2004,45.451,0,45.451,843.704,134.407,264.864,75.4,40.4,318.829,85.6,232.863,939.015,391.1,524.4
S,SC,700,corn,2005,209.824,209.824,0,874.134,88.204,-58.303,184.6,176,186.089,174.4,12.028,1256.455,908.1,400.3
S,SC,700,soybean,2006,64.117,0,64.117,837.159,10.563,-20.012,120.7,94.4,116.498,65.4,51.011,1227.969,603.2,807.3
S,SC,700,corn,2007,188.487,188.487,0,893.407,143.166,72.715,164.2,147.8,430.996,170.4,260.466,1126.044,1058.7,594.3
S,SC,700,soybean,2008,60.597,0,60.597,822.559,37.919,139.432,89.6,58.3,179.657,29.8,149.828,1068.068,759.7,955.7
S,SC,700,corn,2009,225.791,225.791,0,827.434,11.321,-114.885,141.6,134.6,34.883,120.8,-85.542,1320.193,1199.9,736.7
S,SC,700,soybean,2010,59.939,0,59.939,819.696,91.692,333.417,90.1,53.6,480.394,47.7,432.356,873.282,876.3,1085.8
S,SC,700,corn,2011,232.948,232.948,0,890.293,29.138,-183.931,161.3,148.6,-106.71,107.3,-213.081,1364.891,1349.2,840.9
S,SC,700,soybean,2012,62.532,0,62.532,993.274,27.924,-191.459,170.3,124.5,-28.512,152.7,-181.773,1403.033,934.2,1171.3
S,SC,700,corn,2013,221.471,221.471,0,883.582,141.78,-123.515,169,160.1,170.332,232.9,-62.286,1325.676,1316.7,884.6
S,SC,700,soybean,2014,47.386,0,47.386,835.491,65.017,15.721,91.3,63.2,296.59,183.1,113.143,1185.747,900.3,1161.8
S,SC,700,corn,2015,237.923,237.923,0,863.949,69.848,-32.627,182,170.2,426.55,229.1,197.633,1229.185,1318.6,868.2
S,SC,700,soybean,2016,72.9,0,72.9,899.399,65.378,176.387,132.3,94.1,317.7,57.7,259.715,1030.903,980.1,1179.8
S,SC,700,corn,2017,250.466,250.466,0,866.332,29.683,-157.107,167.7,157.7,-80.803,105.5,-185.998,1347.69,1403.9,949.6
S,SC,700,soybean,2018,74.329,0,74.329,800.497,73.682,189.859,94.1,62.3,422.676,87.1,335.314,1013.475,1036,1277.6
S,SC,700,corn,2019,213.035,213.035,0,825.582,73.687,123.209,149.4,139.5,285.097,179.4,105.964,1078.577,1356.3,1018.6
S,SC,750,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,750,corn,2001,188.307,188.307,0,814.706,103.22,23.419,166.8,157.6,213.737,184,30.039,1176.092,576.3,45.3
S,SC,750,soybean,2002,74.575,0,74.575,912.653,17.121,-111.471,104.5,77,88.102,67,20.87,1313.594,217.1,489.9
S,SC,750,corn,2003,172.034,172.034,0,851.187,57.885,-132.485,143.3,126.1,160.517,170.7,-9.728,1322.725,699.2,322.6
S,SC,750,soybean,2004,45.451,0,45.451,843.704,134.407,264.863,75.2,40.2,357.421,95.6,261.395,939.015,442.1,582
S,SC,750,corn,2005,209.824,209.824,0,874.134,88.204,-58.3,185.1,176.5,199.314,188.3,11.393,1256.452,998.3,449.9
S,SC,750,soybean,2006,64.117,0,64.117,837.159,10.563,-20.012,121,94.7,126.024,71.8,54.121,1227.969,675.4,888.8
S,SC,750,corn,2007,188.487,188.487,0,893.413,143.169,72.685,165.4,149,473.208,185.1,287.943,1126.078,1169.8,663.8
S,SC,750,soybean,2008,61.212,0,61.212,822.569,37.176,137.073,90,58.7,195.019,32.9,162.034,1070.274,850.3,1057.1
S,SC,750,corn,2009,225.792,225.792,0,827.351,11.312,-114.313,142.3,135.3,35.515,131.8,-95.961,1319.641,1330.3,823.9
S,SC,750,soybean,2010,60.205,0,60.205,819.75,90.522,332.475,90.5,53.8,534.127,53.6,480.192,874.05,983.3,1204.1
S,SC,750,corn,2011,232.95,232.95,0,890.261,29.145,-183.697,162,149.3,-122.727,115.9,-237.584,1364.665,1497.1,942.4
S,SC,750,soybean,2012,62.532,0,62.532,993.272,27.921,-191.441,170.5,124.7,-32.613,170.5,-203.675,1403.011,1061,1302.5
S,SC,750,corn,2013,221.471,221.471,0,883.579,141.77,-123.479,169.1,160.3,189.472,258.5,-68.624,1325.639,1469.4,1000.6
S,SC,750,soybean,2014,47.386,0,47.386,835.49,65.016,15.74,91.5,63.4,333.159,205.8,126.973,1185.721,1020.5,1299.6
S,SC,750,corn,2015,237.932,237.932,0,863.943,69.852,-32.604,182.7,170.9,473.324,254.2,219.339,1229.166,1468.4,981.7
S,SC,750,soybean,2016,72.9,0,72.9,899.523,65.294,175.7,132.6,94.3,354.058,64.1,289.677,1031.583,1104.6,1315.3
S,SC,750,corn,2017,250.466,250.466,0,866.333,29.684,-157.137,168,157.9,-95.888,115.2,-210.77,1347.719,1566,1067.8
S,SC,750,soybean,2018,74.329,0,74.329,800.607,73.759,189.078,94.1,62.3,472.171,96.9,375.034,1014.235,1171.2,1427.1
S,SC,750,corn,2019,213.036,213.036,0,825.585,73.689,123.149,150,140,312.339,193.6,118.99,1078.636,1517.5,1145.6
S,SC,800,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,800,corn,2001,188.307,188.307,0,814.706,103.219,23.424,166.7,157.6,227.211,195.7,31.808,1176.088,617,45.6
S,SC,800,soybean,2002,74.575,0,74.575,912.653,17.121,-111.468,104.7,77.1,96.354,72.8,23.367,1313.591,243.6,525
S,SC,800,corn,2003,172.034,172.034,0,851.196,57.9,-132.552,144.4,127.3,172.438,184,-11.084,1322.796,767,349.8
S,SC,800,soybean,2004,45.451,0,45.451,843.704,134.406,264.862,75.1,40.1,396.131,105.7,289.912,939.016,493,639.7
S,SC,800,corn,2005,209.824,209.824,0,874.134,88.204,-58.298,185.5,176.9,212.449,202.1,10.766,1256.45,1088.5,499.4
S,SC,800,soybean,2006,64.117,0,64.117,837.159,10.563,-20.013,121.2,95,135.697,78.3,57.297,1227.968,748,970.5
S,SC,800,corn,2007,188.487,188.487,0,893.42,143.173,72.64,166.4,150.2,515.555,199.9,315.529,1126.127,1281.2,733.5
S,SC,800,soybean,2008,61.326,0,61.326,822.746,36.722,135.86,90.3,59.1,211.644,36.2,175.384,1071.364,942.8,1158.7
S,SC,800,corn,2009,225.793,225.793,0,827.34,11.311,-114.262,143,135.9,35.472,142.9,-107.037,1319.592,1462.7,913
S,SC,800,soybean,2010,60.316,0,60.316,819.828,89.844,331.999,90.7,53.9,589.736,59.1,530.27,874.512,1093,1324.4
S,SC,800,corn,2011,232.952,232.952,0,890.247,29.147,-183.597,162.5,149.7,-140.202,124.1,-263.22,1364.569,1647.8,1046.7
S,SC,800,soybean,2012,62.532,0,62.532,993.27,27.919,-191.425,170.6,124.7,-36.958,188.5,-226.079,1402.994,1190.9,1436.3
S,SC,800,corn,2013,221.471,221.471,0,883.577,141.762,-123.444,169.1,160.3,208.885,284.3,-75.078,1325.603,1624.6,1119.4
S,SC,800,soybean,2014,47.386,0,47.386,835.488,65.016,15.758,91.5,63.5,370.503,229,141.071,1185.693,1143.9,1439.7
S,SC,800,corn,2015,237.936,237.936,0,863.94,69.855,-32.587,183,171.2,520.659,279.6,241.214,1229.15,1620.3,1098
S,SC,800,soybean,2016,72.9,0,72.9,899.521,65.301,175.715,132.7,94.4,391.745,70.6,320.859,1031.568,1230.8,1452.9
S,SC,800,corn,2017,250.466,250.466,0,866.336,29.685,-157.151,168.2,158.2,-111.28,124.8,-235.803,1347.734,1729.4,1187.3
S,SC,800,soybean,2018,74.329,0,74.329,800.634,73.78,188.887,94,62.3,522.379,106.6,415.478,1014.419,1307.7,1578.4
S,SC,800,corn,2019,213.036,213.036,0,825.589,73.692,123.12,150.4,140.5,339.161,207.6,131.831,1078.666,1679.5,1273.5
S,SC,850,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,850,corn,2001,188.307,188.307,0,814.705,103.218,23.428,166.7,157.6,240.571,207.3,33.565,1176.083,657.9,45.8
S,SC,850,soybean,2002,74.575,0,74.575,912.653,17.121,-111.467,104.9,77.4,104.693,78.6,25.875,1313.591,270.1,560.3
S,SC,850,corn,2003,172.034,172.034,0,851.211,57.925,-132.667,145.8,128.9,184.297,197.2,-12.412,1322.897,835.6,376.9
S,SC,850,soybean,2004,45.451,0,45.451,843.703,134.406,264.861,75.1,40.1,435.271,116.1,318.653,939.017,544.4,698
S,SC,850,corn,2005,209.824,209.824,0,874.134,88.204,-58.296,185.8,177.3,225.51,215.8,10.11,1256.448,1179.1,549.4
S,SC,850,soybean,2006,64.117,0,64.117,837.159,10.563,-20.016,121.5,95.3,145.477,84.8,60.509,1227.968,821.1,1052.5
S,SC,850,corn,2007,188.487,188.487,0,893.434,143.177,72.564,167.5,151.5,558.048,214.7,343.225,1126.21,1393.1,803.7
S,SC,850,soybean,2008,61.391,0,61.391,822.858,36.369,135.001,90.7,59.6,228.564,39.5,189.001,1072.047,1035.8,1260.9
S,SC,850,corn,2009,225.793,225.793,0,827.337,11.311,-114.244,143.6,136.6,35.132,153.8,-118.276,1319.575,1595.7,1002.6
S,SC,850,soybean,2010,60.364,0,60.364,819.869,89.507,331.727,90.8,53.8,645.023,65,579.582,874.778,1202.4,1445.3
S,SC,850,corn,2011,232.954,232.954,0,890.24,29.148,-183.549,162.9,150.1,-157.214,132.3,-288.295,1364.523,1798.2,1150.5
S,SC,850,soybean,2012,62.532,0,62.532,993.269,27.917,-191.411,170.5,124.7,-41.109,206.6,-248.367,1402.978,1320.6,1569.9
S,SC,850,corn,2013,221.471,221.471,0,883.574,141.754,-123.413,169,160.2,228.263,310.2,-81.511,1325.573,1779.6,1237.9
S,SC,850,soybean,2014,47.386,0,47.386,835.487,65.015,15.776,91.5,63.5,408.119,252.5,155.167,1185.667,1268.4,1579.7
S,SC,850,corn,2015,237.938,237.938,0,863.937,69.857,-32.572,183.2,171.4,568.498,305.4,263.281,1229.137,1773,1215.1
S,SC,850,soybean,2016,72.9,0,72.9,899.52,65.307,175.726,132.8,94.5,429.91,77.2,352.399,1031.558,1357.5,1591.3
S,SC,850,corn,2017,250.466,250.466,0,866.339,29.686,-157.167,168.5,158.5,-126.803,134.5,-260.975,1347.75,1893.5,1307.3
S,SC,850,soybean,2018,74.329,0,74.329,800.634,73.78,188.886,93.9,62.2,573.024,116.4,456.339,1014.419,1444.8,1730.3
S,SC,850,corn,2019,213.036,213.036,0,825.593,73.695,123.1,150.7,140.9,365.755,221.4,144.616,1078.687,1842.2,1401.7
S,SC,900,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,900,corn,2001,188.307,188.307,0,814.705,103.218,23.432,166.7,157.6,253.822,218.9,35.312,1176.08,698.8,46.1
S,SC,900,soybean,2002,74.575,0,74.575,912.654,17.121,-111.467,105,77.5,113.11,84.4,28.407,1313.59,296.9,595.6
S,SC,900,corn,2003,172.034,172.034,0,851.233,57.973,-132.844,147,130.3,196.004,210.3,-13.746,1323.078,904.3,404.1
S,SC,900,soybean,2004,45.451,0,45.451,843.703,134.406,264.858,75,40,474.541,126.6,347.396,939.02,595.9,756.5
S,SC,900,corn,2005,209.824,209.824,0,874.134,88.204,-58.294,186.1,177.6,238.479,229.5,9.449,1256.446,1269.8,599.4
S,SC,900,soybean,2006,64.117,0,64.117,837.16,10.563,-20.018,121.5,95.5,155.38,91.5,63.761,1227.967,895.1,1134.7
S,SC,900,corn,2007,188.487,188.487,0,893.444,143.181,72.508,168,152.1,600.573,229.4,370.963,1126.271,1505,874.6
S,SC,900,soybean,2008,61.446,0,61.446,822.947,36.109,134.417,91,60,245.72,42.8,202.841,1072.558,1128.9,1363.1
S,SC,900,corn,2009,225.794,225.794,0,827.336,11.311,-114.254,144.2,137.3,34.615,164.7,-129.583,1319.584,1728.8,1092.2
S,SC,900,soybean,2010,60.422,0,60.422,819.915,89.133,331.427,90.9,53.8,700.13,71,628.637,875.063,1312,1566.5
S,SC,900,corn,2011,232.956,232.956,0,890.232,29.148,-183.493,163.3,150.5,-174.222,140.3,-313.245,1364.47,1948.8,1254.5
S,SC,900,soybean,2012,62.532,0,62.532,993.267,27.915,-191.397,170.5,124.7,-45.095,224.8,-270.614,1402.961,1450.5,1703.6
S,SC,900,corn,2013,221.471,221.471,0,883.572,141.748,-123.384,169,160.2,247.684,336,-87.919,1325.542,1934.8,1356.5
S,SC,900,soybean,2014,47.386,0,47.386,835.486,65.015,15.791,91.5,63.5,446.084,276.4,169.277,1185.642,1394.1,1719.9
S,SC,900,corn,2015,237.941,237.941,0,863.935,69.858,-32.559,183.3,171.6,616.811,331.5,285.498,1229.125,1926.4,1333.2
S,SC,900,soybean,2016,72.9,0,72.9,899.521,65.315,175.724,133.9,95.8,467.994,83.8,383.801,1031.559,1482.3,1730.3
S,SC,900,corn,2017,250.465,250.465,0,866.361,29.696,-157.283,172,162.1,-141.443,144.6,-285.723,1347.866,2059.7,1426.6
S,SC,900,soybean,2018,74.329,0,74.329,800.633,73.78,188.876,94.1,62.4,625.157,126.6,498.25,1014.428,1583.6,1883.9
S,SC,900,corn,2019,213.037,213.037,0,825.597,73.698,123.079,151.2,141.4,392.616,235.2,157.699,1078.709,2006.8,1531.6
S,SC,950,soybean,2000,61.484,0,61.484,875.52,4.768,-214.57,181.7,155.1,3.039,10.4,-7.311,1413.654,30.6,100.5
S,SC,950,corn,2001,188.307,188.307,0,814.704,103.217,23.435,166.7,157.6,266.966,230.3,37.049,1176.077,739.9,46.3
S,SC,950,soybean,2002,74.575,0,74.575,912.655,17.121,-111.469,105,77.7,121.687,90.4,30.99,1313.593,324.6,631
S,SC,950,corn,2003,172.034,172.034,0,851.262,58.024,-133.057,147.6,131.1,207.538,223.2,-15.076,1323.288,973.5,431.9
S,SC,950,soybean,2004,45.451,0,45.451,843.704,134.406,264.851,75,40,514.08,137.2,376.283,939.027,647.6,815.3
S,SC,950,corn,2005,209.824,209.824,0,874.133,88.204,-58.292,186.4,177.9,251.346,243.1,8.749,1256.444,1360.8,649.6
S,SC,950,soybean,2006,64.117,0,64.117,837.16,10.563,-20.017,121.5,95.5,165.509,98.3,67.066,1227.966,970.7,1217.2
S,SC,950,corn,2007,188.487,188.487,0,893.445,143.182,72.503,168,152.1,643.682,244.4,399.09,1126.278,1617.7,946.8
S,SC,950,soybean,2008,61.465,0,61.465,822.975,36.023,134.232,91.2,60.3,263.426,46.1,217.215,1072.72,1222.7,1466.2
S,SC,950,corn,2009,225.794,225.794,0,827.342,11.312,-114.291,144.8,137.8,33.739,175.4,-141.11,1319.62,1862.7,1182.5
S,SC,950,soybean,2010,60.467,0,60.467,819.946,88.849,331.206,91,53.8,755.409,77.1,677.846,875.271,1422.1,1688.4
S,SC,950,corn,2011,232.958,232.958,0,890.225,29.149,-183.449,163.6,150.8,-191.482,148.2,-338.285,1364.427,2100,1358.9
S,SC,950,soybean,2012,62.532,0,62.532,993.265,27.914,-191.384,170.5,124.6,-49.109,243.1,-292.969,1402.947,1580.8,1838
S,SC,950,corn,2013,221.471,221.471,0,883.57,141.743,-123.363,169,160.1,267.071,361.9,-94.381,1325.522,2090.5,1475.6
S,SC,950,soybean,2014,47.386,0,47.386,835.485,65.014,15.804,91.5,63.5,484.323,300.4,183.438,1185.621,1520.9,1860.5
S,SC,950,corn,2015,237.943,237.943,0,863.933,69.86,-32.546,183.3,171.6,665.422,357.9,307.767,1229.113,2080.5,1452.2
S,SC,950,soybean,2016,72.9,0,72.9,899.523,65.323,175.719,134.4,96.4,507.135,90.8,415.964,1031.564,1610,1870.1
S,SC,950,corn,2017,250.464,250.464,0,866.389,29.709,-157.428,173.8,164.1,-156.613,154.7,-310.917,1348.011,2226.7,1548.1
S,SC,950,soybean,2018,74.329,0,74.329,800.634,73.78,188.863,94.2,62.5,677.226,136.7,540.147,1014.442,1722.2,2038.7
S,SC,950,corn,2019,213.037,213.037,0,825.608,73.705,123.016,151.7,142.1,419.067,248.9,170.563,1078.771,2171.5,1661.2
S,SC,0,corn,2000,203.822,203.822,0,871.667,24.018,-138.872,186,157,10.012,10.4,-0.372,1335.196,39.3,87.3
S,SC,0,soybean,2001,51.882,0,51.882,803.307,60.426,145.152,116,94.5,15.638,4.5,11.124,1057.581,26.8,32.5
S,SC,0,corn,2002,130.639,130.639,0,936.606,48.609,-132.15,144.5,138.4,9,9,-0.031,1323.389,39.8,34.3
S,SC,0,soybean,2003,51.707,0,51.707,840.241,50.453,-14.21,89.2,62.4,9.711,5.1,4.612,1207.006,18.9,32.4
S,SC,0,corn,2004,32.816,32.816,0,859.576,197.396,148.856,109.4,101.9,7.109,6.4,0.748,1057.104,16.8,25.9
S,SC,0,soybean,2005,54.084,0,54.084,852.297,35.581,151.373,93.9,61.9,6.363,4,2.417,1051.7,16.7,13.9
S,SC,0,corn,2006,61.742,61.742,0,857.315,44.614,-40.632,127.5,113.2,7.245,5.9,1.393,1239.523,27.8,20
S,SC,0,soybean,2007,56.735,0,56.735,881.439,78.564,228.165,101,71,11.971,5.9,6.096,980.164,17.4,23.5
