ApsimVersion = 7.9 r0
Title = Gilmore_SC_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        767.000        578.000          0.000            323.416                35.0          10.827                   0.000               156.641
     31/12/1995           1995        788.000        462.000          0.000            446.885                42.4           9.492                  39.571                 0.000
     31/12/1996           1996        924.000        694.000          0.000            373.694                27.7           7.401                   0.000               182.515
     31/12/1997           1997        626.000        400.000          0.000            312.545                16.8           5.372                  48.222                 0.000
     31/12/1998           1998        965.000        681.000          0.000            434.105                28.2           6.502                   0.000               157.449
     31/12/1999           1999        787.000        421.000          0.000            423.242                27.4           6.480                  47.802                 0.000
     31/12/2000           2000        625.000        399.000          0.000            286.992                 9.5           3.311                   0.000               111.746
     31/12/2001           2001        861.000        510.000          0.000            464.462                12.2           2.618                  39.283                 0.000
     31/12/2002           2002        774.000        623.000          0.000            313.571                 4.6           1.474                   0.000                82.723
     31/12/2003           2003        733.000        432.000          0.000            369.481                 7.5           2.038                  52.100                 0.000
     31/12/2004           2004        858.500        542.000          0.000            410.601                 6.4           1.554                   0.000                70.933
     31/12/2005           2005        802.000        535.000          0.000            382.024                 6.8           1.790                  51.780                 0.000
     31/12/2006           2006        696.000        487.000          0.000            362.307                 8.0           2.217                   0.000                85.346
     31/12/2007           2007       1086.000        693.000          0.000            595.132                11.0           1.849                  44.083                 0.000
     31/12/2008           2008       1001.000        678.000          0.000            498.565                 9.8           1.962                   0.000                90.783
     31/12/2009           2009        817.000        605.000          0.000            442.151                 4.4           0.994                  46.999                 0.000
     31/12/2010           2010       1088.000        887.000          0.000            586.413                 6.0           1.026                   0.000                73.290
     31/12/2011           2011        591.000        390.000          0.000            307.190                 6.8           2.201                  36.680                 0.000
     31/12/2012           2012        620.000        373.000          0.000            202.764                 4.7           2.335                   0.000                92.110
     31/12/2013           2013        682.000        374.000          0.000            435.538                10.9           2.509                  46.895                 0.000
     31/12/2014           2014        980.000        789.000          0.000            519.779                 3.6           0.686                   0.000                50.111
     31/12/2015           2015       1137.000        714.000          0.000            644.387                 7.6           1.178                  35.933                 0.000
     31/12/2016           2016        899.000        663.000          0.000            408.793                 5.9           1.441                   0.000                82.430
     31/12/2017           2017        758.000        520.000          0.000            389.006                 8.8           2.255                  53.497                 0.000
     31/12/2018           2018       1171.000        868.000          0.000            648.108                 9.3           1.438                   0.000                86.521
     31/12/2019           2019        951.000        644.000          0.000            596.675                 8.1           1.352                  44.941                 0.000
