ApsimVersion = 7.9 r0
Title = Masarik_SC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        952.000        650.000        168.000            343.862                37.8          10.985          108.999
     31/12/1995           1995        922.000        545.000        168.000            405.436                31.3           7.725           47.508
     31/12/1996           1996        824.000        532.000        168.000            221.724                16.9           7.639          112.068
     31/12/1997           1997        818.000        564.000        168.000            436.795                38.6           8.826           47.150
     31/12/1998           1998       1023.000        561.000        168.000            275.924                19.9           7.225          192.634
     31/12/1999           1999        965.000        539.000        168.000            461.752                50.6          10.961           61.663
     31/12/2000           2000       1108.000        785.000        168.000            322.449                28.2           8.747          132.747
     31/12/2001           2001       1148.000        773.000        168.000            527.659                29.8           5.657           39.855
     31/12/2002           2002        745.000        409.000        168.000            209.730                10.3           4.902          220.627
     31/12/2003           2003        904.000        410.000        168.000            429.769                25.1           5.832           58.616
     31/12/2004           2004       1072.000        730.000        168.000            321.727                14.1           4.372          135.865
     31/12/2005           2005        739.000        439.000        168.000            317.456                11.0           3.473           66.771
     31/12/2006           2006       1081.000        679.000        168.000            325.938                22.0           6.752          199.333
     31/12/2007           2007       1127.000        733.000        168.000            458.529                26.1           5.682           64.421
     31/12/2008           2008       1272.000        713.000        168.000            387.391                22.9           5.923          142.578
     31/12/2009           2009       1009.000        474.000        168.000            490.796                23.5           4.785           49.850
     31/12/2010           2010       1110.000        834.000        168.000            268.448                19.8           7.389          170.514
     31/12/2011           2011        867.000        407.000        168.000            404.628                36.4           8.991           56.606
     31/12/2012           2012        705.500        378.000        168.000            189.970                11.5           6.053          205.802
     31/12/2013           2013       1051.000        525.000        168.000            539.767                29.5           5.456           44.956
     31/12/2014           2014        914.000        546.000        168.000            253.199                10.9           4.290          135.986
     31/12/2015           2015       1014.000        588.000        168.000            436.011                26.4           6.052           27.384
     31/12/2016           2016       1138.500        832.000        168.000            271.522                23.1           8.493          185.201
     31/12/2017           2017        939.000        499.000        168.000            481.170                30.3           6.297           60.370
     31/12/2018           2018       1193.000        768.000        168.000            333.954                21.6           6.463          189.761
     31/12/2019           2019       1246.000        719.000        168.000            612.049                30.4           4.965           48.882
