ApsimVersion = 7.9 r0
Title = Masarik_SC_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        952.000        650.000        224.000            343.862                37.8          10.985          108.999
     31/12/1995           1995        922.000        545.000        224.000            405.436                31.3           7.725           47.508
     31/12/1996           1996        824.000        532.000        224.000            221.724                16.9           7.639          112.068
     31/12/1997           1997        818.000        564.000        224.000            436.795                38.6           8.826           47.150
     31/12/1998           1998       1023.000        561.000        224.000            275.924                19.9           7.225          192.634
     31/12/1999           1999        965.000        539.000        224.000            461.752                50.6          10.961           61.663
     31/12/2000           2000       1108.000        785.000        224.000            322.456                35.1          10.872          132.821
     31/12/2001           2001       1148.000        773.000        224.000            522.419                44.1           8.448           40.085
     31/12/2002           2002        745.000        409.000        224.000            209.807                15.5           7.403          221.023
     31/12/2003           2003        904.000        410.000        224.000            425.168                41.9           9.844           58.731
     31/12/2004           2004       1072.000        730.000        224.000            320.291                23.0           7.194          136.236
     31/12/2005           2005        739.000        439.000        224.000            311.488                23.0           7.393           67.454
     31/12/2006           2006       1081.000        679.000        224.000            325.355                32.4           9.959          199.609
     31/12/2007           2007       1127.000        733.000        224.000            450.670                40.0           8.875           65.470
     31/12/2008           2008       1272.000        713.000        224.000            388.317                30.4           7.832          142.680
     31/12/2009           2009       1009.000        474.000        224.000            487.297                39.9           8.195           49.912
     31/12/2010           2010       1110.000        834.000        224.000            268.391                27.1          10.109          170.620
     31/12/2011           2011        867.000        407.000        224.000            401.683                50.1          12.464           56.690
     31/12/2012           2012        705.500        378.000        224.000            190.023                17.7           9.289          205.704
     31/12/2013           2013       1051.000        525.000        224.000            534.078                47.9           8.971           45.708
     31/12/2014           2014        914.000        546.000        224.000            252.102                16.9           6.701          135.767
     31/12/2015           2015       1014.000        588.000        224.000            423.499                44.6          10.523           27.754
     31/12/2016           2016       1138.500        832.000        224.000            271.336                39.4          14.529          185.658
     31/12/2017           2017        939.000        499.000        224.000            472.338                48.8          10.328           61.890
     31/12/2018           2018       1193.000        768.000        224.000            334.548                33.6          10.055          190.254
     31/12/2019           2019       1246.000        719.000        224.000            602.282                46.7           7.758           50.380
