ApsimVersion = 7.9 r0
Title = Sutherland_SC_spring_NR0
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994              ?        550.460          0.000                  ?                   ?         100.000                ?
     31/12/1995           1995        802.428        581.547          0.000            181.975                 5.8           3.178           63.313
     31/12/1996           1996        682.592        486.478          0.000            146.154                 1.0           0.674           93.657
     31/12/1997           1997        659.417        458.680          0.000             98.995                 1.7           1.753           48.189
     31/12/1998           1998        827.994        544.054          0.000            152.834                 1.9           1.218          126.156
     31/12/1999           1999        566.186        358.910          0.000             91.294                 2.1           2.349           60.635
     31/12/2000           2000        588.510        374.668          0.000            129.981                 1.9           1.466          116.681
     31/12/2001           2001        760.490        467.872          0.000            167.728                 6.3           3.750           55.067
     31/12/2002           2002        601.310        475.078          0.000            101.522                 0.9           0.920           88.050
     31/12/2003           2003        679.553        483.356          0.000             97.639                 1.5           1.506           57.644
     31/12/2004           2004        982.960        745.996          0.000            220.495                 0.5           0.242           84.377
     31/12/2005           2005        795.539        567.211          0.000             79.066                 0.7           0.902           60.659
     31/12/2006           2006        619.500        369.064          0.000             76.587                 1.6           2.095           67.365
     31/12/2007           2007        926.102        683.270          0.000            196.782                 2.6           1.332           54.397
     31/12/2008           2008        794.702        509.720          0.000            159.544                 1.6           1.030           90.768
     31/12/2009           2009        611.608        404.596          0.000             87.597                 0.9           0.987           52.360
     31/12/2010           2010        994.688        782.074          0.000            347.373                 2.0           0.570           89.103
     31/12/2011           2011        510.786        375.668          0.000             75.629                 1.1           1.454           39.163
     31/12/2012           2012        619.490        386.080          0.000             47.908                 0.1           0.291           94.880
     31/12/2013           2013        779.258        577.844          0.000            165.143                 5.6           3.400           65.101
     31/12/2014           2014        662.412        523.494          0.000             70.855                 0.2           0.315           62.887
     31/12/2015           2015        824.760        429.514          0.000            130.041                 0.7           0.565           51.674
     31/12/2016           2016        904.802        578.726          0.000            163.997                 0.9           0.541          103.095
     31/12/2017           2017        621.748        406.912          0.000             91.951                 1.3           1.367           59.094
     31/12/2018           2018        951.214        619.990          0.000            243.936                 1.7           0.682          108.205
     31/12/2019           2019        883.171        509.288          0.000            194.096                 2.9           1.499           56.531
