ApsimVersion = 7.9 r0
Title = Gold_SC_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        910.000        541.000        224.000            201.872                16.3           8.082                   0.000                32.574
     31/12/1995           1995        731.000        356.000        224.000            101.004                 3.5           3.486                  51.999                 0.000
     31/12/1996           1996        968.000        504.000        224.000            150.354                 4.5           2.994                   0.000               135.150
     31/12/1997           1997        780.000        435.000        224.000            112.044                 3.1           2.777                  46.015                 0.000
     31/12/1998           1998        710.000        284.000        224.000            141.946                 3.3           2.322                   0.000               109.733
     31/12/1999           1999        796.000        454.000        224.000            103.924                 7.5           7.192                  58.922                 0.000
     31/12/2000           2000        898.000        525.000        224.000            100.782                11.7          11.634                   0.000               130.356
     31/12/2001           2001        791.000        517.000        224.000            137.397                 8.2           5.938                  47.285                 0.000
     31/12/2002           2002        807.000        432.000        224.000             51.436                 2.2           4.215                   0.000               158.953
     31/12/2003           2003        709.000        292.000        224.000            118.832                 9.8           8.245                  58.464                 0.000
     31/12/2004           2004        863.000        497.000        224.000            132.697                 9.9           7.485                   0.000               145.225
     31/12/2005           2005        797.000        417.000        224.000            133.283                15.9          11.929                  53.336                 0.000
     31/12/2006           2006       1062.000        629.000        224.000            199.660                22.7          11.392                   0.000               167.651
     31/12/2007           2007        820.000        481.000        224.000             97.194                11.3          11.582                  61.343                 0.000
     31/12/2008           2008       1033.000        587.000        224.000            177.309                15.1           8.536                   0.000               138.322
     31/12/2009           2009        861.000        451.000        224.000            145.789                15.3          10.476                  34.674                 0.000
     31/12/2010           2010        678.000        451.000        224.000             44.156                 4.9          11.079                   0.000               141.921
     31/12/2011           2011        979.000        523.000        224.000            174.136                29.3          16.852                  58.780                 0.000
     31/12/2012           2012        823.500        530.000        224.000             76.373                 8.1          10.664                   0.000               103.822
     31/12/2013           2013        967.000        436.000        224.000            209.225                43.8          20.955                  13.954                 0.000
     31/12/2014           2014        950.000        527.000        224.000            100.412                19.1          19.030                   0.000               108.287
     31/12/2015           2015        813.000        537.000        224.000             52.696                 7.4          14.044                  44.779                 0.000
     31/12/2016           2016        956.000        463.000        224.000            138.288                12.6           9.083                   0.000               157.438
     31/12/2017           2017        946.000        443.000        224.000            194.311                29.0          14.923                  51.748                 0.000
     31/12/2018           2018        868.000        459.000        224.000            139.106                15.4          11.090                   0.000               101.549
     31/12/2019           2019       1070.000        541.000        224.000            199.782                24.7          12.366                  51.550                 0.000
