ApsimVersion = 7.9 r0
Title = Gentry_SC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        889.300        415.300         56.000            472.482                37.9           8.028                   0.000               204.321
     31/12/1995           1995        953.500        386.000         56.000            477.720                27.4           5.729                  54.388                 0.000
     31/12/1996           1996        947.300        488.900         56.000            388.748                25.1           6.460                   0.000               215.663
     31/12/1997           1997        889.400        499.100         56.000            493.488                10.7           2.174                  51.741                 0.000
     31/12/1998           1998       1091.500        548.800         56.000            428.548                23.0           5.370                   0.000               181.852
     31/12/1999           1999        884.700        455.400         56.000            457.475                12.4           2.718                  68.120                 0.000
     31/12/2000           2000        918.600        586.300         56.000            280.447                12.6           4.500                   0.000               189.579
     31/12/2001           2001        963.400        635.300         56.000            447.643                17.6           3.924                  57.263                 0.000
     31/12/2002           2002        984.500        439.600         56.000            381.475                19.0           4.979                   0.000               183.041
     31/12/2003           2003        966.800        625.200         56.000            398.083                13.5           3.390                  62.124                 0.000
     31/12/2004           2004       1019.600        646.800         56.000            406.646                13.5           3.331                   0.000               182.111
     31/12/2005           2005        832.000        442.700         56.000            351.973                 9.7           2.768                  54.507                 0.000
     31/12/2006           2006        994.600        562.400         56.000            379.748                17.1           4.502                   0.000               190.638
     31/12/2007           2007        984.000        502.300         56.000            466.325                16.9           3.614                  56.731                 0.000
     31/12/2008           2008       1311.600        771.100         56.000            536.554                25.6           4.771                   0.000               187.560
     31/12/2009           2009       1273.500        642.500         56.000            865.223                10.6           1.228                  51.183                 0.000
     31/12/2010           2010        976.199        675.300         56.000            347.848                13.8           3.955                   0.000               181.707
     31/12/2011           2011       1006.100        458.300         56.000            604.479                19.6           3.240                  49.336                 0.000
     31/12/2012           2012        739.800        504.100         56.000            192.089                11.2           5.842                   0.000                87.226
     31/12/2013           2013        954.600        460.500         56.000            566.516                27.8           4.905                  45.570                 0.000
     31/12/2014           2014       1020.999        685.300         56.000            392.871                11.7           2.973                   0.000               172.623
     31/12/2015           2015       1135.699        673.800         56.000            666.406                15.9           2.386                  41.901                 0.000
     31/12/2016           2016        996.999        684.000         56.000            361.113                11.3           3.142                   0.000               186.506
     31/12/2017           2017        884.200        505.600         56.000            377.186                11.2           2.957                  73.674                 0.000
     31/12/2018           2018       1050.600        604.700         56.000            417.278                20.3           4.876                   0.000               190.603
     31/12/2019           2019       1093.500        490.100         56.000            684.210                23.6           3.446                  48.326                 0.000
