ApsimVersion = 7.9 r0
Title = Gentry_SC_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        889.300        415.300        224.000            472.482                37.9           8.028          204.321
     31/12/1995           1995        953.500        386.000        224.000            477.720                27.4           5.729           54.388
     31/12/1996           1996        947.300        488.900        224.000            388.748                25.1           6.460          215.663
     31/12/1997           1997        889.400        499.100        224.000            493.488                10.7           2.174           51.741
     31/12/1998           1998       1091.500        548.800        224.000            428.548                23.0           5.370          181.852
     31/12/1999           1999        884.700        455.400        224.000            457.475                12.4           2.718           68.120
     31/12/2000           2000        918.600        586.300        224.000            275.383                37.8          13.708          199.316
     31/12/2001           2001        963.400        635.300        224.000            394.161                46.5          11.792           57.471
     31/12/2002           2002        984.500        439.600        224.000            370.635                40.3          10.877          193.400
     31/12/2003           2003        966.800        625.200        224.000            342.331                38.7          11.291           62.780
     31/12/2004           2004       1019.600        646.800        224.000            401.621                52.1          12.973          202.032
     31/12/2005           2005        832.000        442.700        224.000            317.010                36.8          11.608           56.265
     31/12/2006           2006        994.600        562.400        224.000            382.481                57.1          14.933          191.693
     31/12/2007           2007        984.000        502.300        224.000            422.125                56.2          13.318           58.949
     31/12/2008           2008       1311.600        771.100        224.000            531.383                58.7          11.053          208.907
     31/12/2009           2009       1273.500        642.500        224.000            769.603                49.1           6.384           59.681
     31/12/2010           2010        976.199        675.300        224.000            350.189                44.0          12.558          186.136
     31/12/2011           2011       1006.100        458.300        224.000            565.337                59.5          10.527           57.237
     31/12/2012           2012        739.800        504.100        224.000            168.178                20.2          12.021          120.012
     31/12/2013           2013        954.600        460.500        224.000            490.638                65.2          13.282           46.129
     31/12/2014           2014       1020.999        685.300        224.000            382.605                51.5          13.453          185.536
     31/12/2015           2015       1135.699        673.800        224.000            575.390                60.2          10.466           51.359
     31/12/2016           2016        996.999        684.000        224.000            369.715                57.6          15.590          188.510
     31/12/2017           2017        884.200        505.600        224.000            320.050                44.8          13.990           75.502
     31/12/2018           2018       1050.600        604.700        224.000            415.915                53.6          12.889          199.602
     31/12/2019           2019       1093.500        490.100        224.000            620.757                71.4          11.508           53.916
