ApsimVersion = 7.9 r0
Title = Kladivko_SC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994       1015.000        394.000        112.000            132.897                12.8           9.633          194.869
     31/12/1995           1995       1221.000        556.000        112.000            171.833                 8.1           4.734           25.099
     31/12/1996           1996       1431.000        431.000        112.000            168.406                10.7           6.341          189.213
     31/12/1997           1997       1170.000        592.000        112.000            283.055                 3.0           1.058           22.316
     31/12/1998           1998       1294.000        614.000        112.000             33.705                 1.1           3.136          171.752
     31/12/1999           1999        946.000        354.000        112.000            150.300                 2.7           1.786           29.413
     31/12/2000           2000       1400.000        736.000        112.000             87.299                 4.9           5.567          177.274
     31/12/2001           2001       1285.000        851.000        112.000            130.436                 5.4           4.144           23.115
     31/12/2002           2002       1401.000        563.000        112.000            107.422                 7.1           6.582          178.155
     31/12/2003           2003       1319.000        699.000        112.000            201.343                 4.9           2.418           26.247
     31/12/2004           2004       1383.500        753.000        112.000            148.750                 4.9           3.272          209.669
     31/12/2005           2005       1240.000        597.000        112.000            194.286                 1.8           0.948           26.482
     31/12/2006           2006       1535.000        801.000        112.000            134.465                 6.0           4.498          162.111
     31/12/2007           2007       1138.000        467.000        112.000            211.576                 7.2           3.415           33.384
     31/12/2008           2008       1515.000        613.000        112.000            158.488                 6.2           3.906          213.911
     31/12/2009           2009       1395.000        890.000        112.000            223.210                 1.3           0.605           28.906
     31/12/2010           2010        964.000        496.000        112.000             59.804                 2.3           3.841          187.606
     31/12/2011           2011       1489.000        403.000        112.000            466.167                 6.0           1.281           30.196
     31/12/2012           2012        981.000        463.000        112.000             42.226                 1.2           2.957          192.373
     31/12/2013           2013       1237.000        546.000        112.000            227.866                 5.3           2.334           28.276
     31/12/2014           2014       1271.000        674.000        112.000             77.691                 5.2           6.743          170.654
     31/12/2015           2015       1390.000        705.000        112.000            259.141                 6.0           2.302           18.302
     31/12/2016           2016       1305.000        674.000        112.000             10.950                 0.7           6.340          165.836
     31/12/2017           2017       1413.000        652.000        112.000            241.133                 8.9           3.680           36.804
     31/12/2018           2018       1487.000        737.000        112.000            156.055                 6.5           4.182          178.533
     31/12/2019           2019       1419.000        485.000        112.000            424.051                 6.7           1.581           27.713
