ApsimVersion = 7.9 r0
Title = RandIragSC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        880.000        658.000        112.000            111.046                13.6          12.258                   0.000               155.789
     31/12/1995           1995       1051.000        718.000        112.000            415.692                60.2          14.470                  47.742                 0.000
     31/12/1996           1996        795.000        567.000        112.000            106.684                 2.2           2.025                   0.000               173.930
     31/12/1997           1997        687.000        424.000        112.000            234.915                 7.6           3.223                  47.399                 0.000
     31/12/1998           1998        891.000        652.000        112.000            141.198                 3.7           2.635                   0.000               195.063
     31/12/1999           1999        740.000        524.000        112.000            287.536                22.1           7.692                  65.032                 0.000
     31/12/2000           2000        833.000        612.000        112.000             82.763                 2.6           3.096                   0.000               162.629
     31/12/2001           2001        959.000        465.000        112.000            386.210                27.5           7.125                  64.944                 0.000
     31/12/2002           2002        804.000        647.000        112.000             46.521                 1.0           2.244                   0.000               169.453
     31/12/2003           2003        760.000        559.000        112.000            223.164                18.2           8.152                  73.021                 0.000
     31/12/2004           2004        893.500        766.000        112.000             92.713                 2.1           2.252                   0.000               162.788
     31/12/2005           2005       1005.000        794.000        112.000            312.228                 6.8           2.177                  68.717                 0.000
     31/12/2006           2006        731.000        522.000        112.000             31.283                 0.6           1.844                   0.000               164.747
     31/12/2007           2007        917.000        661.000        112.000            363.897                14.6           4.013                  54.158                 0.000
     31/12/2008           2008        815.000        567.000        112.000             62.623                 0.9           1.415                   0.000               178.055
     31/12/2009           2009        869.000        679.000        112.000            329.199                 8.5           2.567                  58.719                 0.000
     31/12/2010           2010       1201.000       1038.000        112.000            190.663                 3.2           1.671                   0.000               147.739
     31/12/2011           2011        829.000        538.000        112.000            430.658                18.7           4.353                  55.758                 0.000
     31/12/2012           2012        825.000        580.000        112.000             98.227                 2.6           2.635                   0.000               181.027
     31/12/2013           2013        821.000        541.000        112.000            189.798                14.9           7.837                  61.227                 0.000
     31/12/2014           2014        819.000        602.000        112.000             97.968                 2.8           2.837                   0.000               173.781
     31/12/2015           2015       1009.000        838.000        112.000            386.007                 7.1           1.836                  18.079                 0.000
     31/12/2016           2016       1027.000        802.000        112.000            108.680                 3.2           2.985                   0.000               175.693
     31/12/2017           2017        894.000        752.000        112.000            315.395                15.8           5.006                  66.905                 0.000
     31/12/2018           2018       1093.000        846.000        112.000            156.958                 3.9           2.482                   0.000               157.992
     31/12/2019           2019       1325.000        783.000        112.000            629.858                27.1           4.299                  56.392                 0.000
