ApsimVersion = 7.9 r0
Title = Kladivko_SC_56N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        394.000         56.000            132.897                12.8           9.633                   0.000               194.869
     31/12/1995           1995       1221.000        556.000         56.000            171.833                 8.1           4.734                  25.099                 0.000
     31/12/1996           1996       1431.000        431.000         56.000            168.406                10.7           6.341                   0.000               189.213
     31/12/1997           1997       1170.000        592.000         56.000            283.055                 3.0           1.058                  22.316                 0.000
     31/12/1998           1998       1294.000        614.000         56.000             33.705                 1.1           3.136                   0.000               171.752
     31/12/1999           1999        946.000        354.000         56.000            150.300                 2.7           1.786                  29.413                 0.000
     31/12/2000           2000       1400.000        736.000         56.000             88.279                 3.5           3.957                   0.000               172.939
     31/12/2001           2001       1285.000        851.000         56.000            174.711                 3.2           1.841                  20.549                 0.000
     31/12/2002           2002       1401.000        563.000         56.000            115.720                 3.7           3.178                   0.000               164.560
     31/12/2003           2003       1319.000        699.000         56.000            235.716                 2.4           1.014                  22.998                 0.000
     31/12/2004           2004       1383.500        753.000         56.000            155.397                 3.6           2.318                   0.000               157.213
     31/12/2005           2005       1240.000        597.000         56.000            204.313                 1.8           0.877                  26.127                 0.000
     31/12/2006           2006       1535.000        801.000         56.000            149.333                 2.4           1.613                   0.000               160.843
     31/12/2007           2007       1138.000        467.000         56.000            213.447                 4.5           2.112                  32.557                 0.000
     31/12/2008           2008       1515.000        613.000         56.000            173.215                 4.9           2.855                   0.000               163.481
     31/12/2009           2009       1395.000        890.000         56.000            270.213                 1.3           0.465                  26.677                 0.000
     31/12/2010           2010        964.000        496.000         56.000             66.467                 3.6           5.489                   0.000               140.187
     31/12/2011           2011       1489.000        403.000         56.000            463.925                 6.3           1.350                  30.260                 0.000
     31/12/2012           2012        981.000        463.000         56.000             45.021                 0.9           2.027                   0.000               135.791
     31/12/2013           2013       1237.000        546.000         56.000            225.736                 3.7           1.624                  27.254                 0.000
     31/12/2014           2014       1271.000        674.000         56.000             80.803                 1.9           2.374                   0.000               166.579
     31/12/2015           2015       1390.000        705.000         56.000            288.582                 2.8           0.957                  15.096                 0.000
     31/12/2016           2016       1305.000        674.000         56.000             13.435                 0.4           2.773                   0.000               163.864
     31/12/2017           2017       1413.000        652.000         56.000            272.461                 4.7           1.741                  32.807                 0.000
     31/12/2018           2018       1487.000        737.000         56.000            158.170                 4.9           3.106                   0.000               152.985
     31/12/2019           2019       1419.000        485.000         56.000            445.148                 5.5           1.246                  25.066                 0.000
