ApsimVersion = 7.9 r0
Title = RandIragSC_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        880.000        658.000        300.000            111.046                13.6          12.258          155.789
     31/12/1995           1995       1051.000        718.000        300.000            415.692                60.2          14.470           47.742
     31/12/1996           1996        795.000        567.000        300.000            106.684                 2.2           2.025          173.930
     31/12/1997           1997        687.000        424.000        300.000            234.915                 7.6           3.223           47.399
     31/12/1998           1998        891.000        652.000        300.000            141.198                 3.7           2.635          195.063
     31/12/1999           1999        740.000        524.000        300.000            287.536                22.1           7.692           65.032
     31/12/2000           2000        833.000        612.000        300.000             82.897                 8.3          10.011          163.798
     31/12/2001           2001        959.000        465.000        300.000            384.409               100.9          26.237           68.431
     31/12/2002           2002        804.000        647.000        300.000             47.094                 3.1           6.531          170.175
     31/12/2003           2003        760.000        559.000        300.000            209.755                72.4          34.509           74.035
     31/12/2004           2004        893.500        766.000        300.000             92.700                 8.6           9.289          163.341
     31/12/2005           2005       1005.000        794.000        300.000            292.033                60.2          20.598           73.722
     31/12/2006           2006        731.000        522.000        300.000             34.286                 1.5           4.334          165.437
     31/12/2007           2007        917.000        661.000        300.000            349.827                83.7          23.918           54.203
     31/12/2008           2008        815.000        567.000        300.000             61.897                 5.4           8.668          178.772
     31/12/2009           2009        869.000        679.000        300.000            302.748                68.4          22.594           60.758
     31/12/2010           2010       1201.000       1038.000        300.000            189.712                33.3          17.563          148.455
     31/12/2011           2011        829.000        538.000        300.000            425.783                81.6          19.164           58.677
     31/12/2012           2012        825.000        580.000        300.000             99.812                 9.4           9.409          181.872
     31/12/2013           2013        821.000        541.000        300.000            181.690                68.5          37.682           61.285
     31/12/2014           2014        819.000        602.000        300.000             98.192                11.7          11.882          175.590
     31/12/2015           2015       1009.000        838.000        300.000            318.718                81.3          25.521           18.723
     31/12/2016           2016       1027.000        802.000        300.000            108.549                31.7          29.212          176.173
     31/12/2017           2017        894.000        752.000        300.000            297.087                75.5          25.425           68.945
     31/12/2018           2018       1093.000        846.000        300.000            157.360                29.0          18.444          158.296
     31/12/2019           2019       1325.000        783.000        300.000            619.828                92.2          14.880           57.968
