ApsimVersion = 7.9 r0
Title = Gold_SC_168N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        910.000        541.000        168.000            201.872                16.3           8.082                   0.000                32.574
     31/12/1995           1995        731.000        356.000        168.000            101.004                 3.5           3.486                  51.999                 0.000
     31/12/1996           1996        968.000        504.000        168.000            150.354                 4.5           2.994                   0.000               135.150
     31/12/1997           1997        780.000        435.000        168.000            112.044                 3.1           2.777                  46.015                 0.000
     31/12/1998           1998        710.000        284.000        168.000            141.946                 3.3           2.322                   0.000               109.733
     31/12/1999           1999        796.000        454.000        168.000            103.924                 7.5           7.192                  58.922                 0.000
     31/12/2000           2000        898.000        525.000        168.000            100.794                 7.3           7.207                   0.000               130.071
     31/12/2001           2001        791.000        517.000        168.000            137.832                 5.5           4.018                  47.052                 0.000
     31/12/2002           2002        807.000        432.000        168.000             51.408                 1.7           3.384                   0.000               158.916
     31/12/2003           2003        709.000        292.000        168.000            119.328                 6.8           5.717                  57.910                 0.000
     31/12/2004           2004        863.000        497.000        168.000            132.576                 5.8           4.392                   0.000               145.140
     31/12/2005           2005        797.000        417.000        168.000            135.170                 9.2           6.802                  50.974                 0.000
     31/12/2006           2006       1062.000        629.000        168.000            199.357                15.3           7.677                   0.000               167.271
     31/12/2007           2007        820.000        481.000        168.000             97.495                 7.5           7.732                  61.357                 0.000
     31/12/2008           2008       1033.000        587.000        168.000            177.364                 9.6           5.406                   0.000               138.182
     31/12/2009           2009        861.000        451.000        168.000            147.514                 9.4           6.345                  34.441                 0.000
     31/12/2010           2010        678.000        451.000        168.000             44.133                 3.4           7.646                   0.000               141.644
     31/12/2011           2011        979.000        523.000        168.000            175.516                21.0          11.980                  58.855                 0.000
     31/12/2012           2012        823.500        530.000        168.000             76.395                 6.2           8.063                   0.000               103.931
     31/12/2013           2013        967.000        436.000        168.000            209.853                33.1          15.775                  13.727                 0.000
     31/12/2014           2014        950.000        527.000        168.000            100.346                13.6          13.512                   0.000               108.149
     31/12/2015           2015        813.000        537.000        168.000             52.941                 4.7           8.915                  44.694                 0.000
     31/12/2016           2016        956.000        463.000        168.000            138.279                 7.6           5.516                   0.000               157.359
     31/12/2017           2017        946.000        443.000        168.000            196.452                19.1           9.723                  51.115                 0.000
     31/12/2018           2018        868.000        459.000        168.000            139.146                11.8           8.469                   0.000               101.832
     31/12/2019           2019       1070.000        541.000        168.000            200.456                18.1           9.042                  51.547                 0.000
