ApsimVersion = 7.9 r0
Title = Hoffman_SC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994       1013.000        487.000        112.000            313.053                19.2           6.143          168.410
     31/12/1995           1995        794.000        359.000        112.000            395.946                 8.6           2.167           44.254
     31/12/1996           1996        997.000        495.000        112.000            208.309                 3.7           1.767          182.574
     31/12/1997           1997        838.000        356.000        112.000            492.064                 9.5           1.933           55.629
     31/12/1998           1998       1112.000        567.000        112.000            211.081                 3.4           1.627          186.189
     31/12/1999           1999        847.000        395.000        112.000            399.144                11.1           2.791           60.199
     31/12/2000           2000        970.000        625.000        112.000             49.871                 4.5           8.939          182.604
     31/12/2001           2001        977.000        650.000        112.000            390.285                19.9           5.093           39.489
     31/12/2002           2002        960.000        436.000        112.000            156.899                 9.4           5.977          153.117
     31/12/2003           2003       1133.000        681.000        112.000            384.842                20.3           5.288           55.813
     31/12/2004           2004       1117.000        707.000        112.000            224.692                17.5           7.782          197.583
     31/12/2005           2005        990.000        544.000        112.000            308.348                11.6           3.752           56.241
     31/12/2006           2006       1071.000        596.000        112.000            159.789                13.8           8.644          171.218
     31/12/2007           2007       1088.000        502.000        112.000            401.521                25.0           6.230           53.882
     31/12/2008           2008       1159.000        614.000        112.000            205.144                14.3           6.979          202.242
     31/12/2009           2009       1107.000        483.000        112.000            591.198                20.0           3.390           67.953
     31/12/2010           2010       1015.000        660.000        112.000             93.028                 4.7           5.080          163.673
     31/12/2011           2011       1348.000        670.000        112.000            699.082                37.1           5.310           60.188
     31/12/2012           2012        871.500        581.000        112.000             76.242                 2.5           3.327           36.214
     31/12/2013           2013       1128.000        499.000        112.000            555.322                27.5           4.944           53.398
     31/12/2014           2014       1287.000        800.000        112.000            326.927                24.5           7.500          175.990
     31/12/2015           2015       1203.000        646.000        112.000            604.633                22.6           3.736           55.412
     31/12/2016           2016        988.500        550.000        112.000            157.239                11.1           7.078          163.416
     31/12/2017           2017       1279.000        662.000        112.000            555.215                39.0           7.016           77.603
     31/12/2018           2018       1130.000        666.000        112.000            253.356                24.9           9.824          175.575
     31/12/2019           2019       1040.000        370.000        112.000            590.427                37.8           6.397           56.061
