ApsimVersion = 7.9 r0
Title = Sutherland_SC_spring_NR112
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994              ?        550.460        112.000                  ?                   ?         100.000                       ?                     ?
     31/12/1995           1995        802.428        581.547        112.000            189.426                 9.8           5.166                  64.719                 0.000
     31/12/1996           1996        682.592        486.478        112.000            118.924                 1.0           0.833                   0.000               212.476
     31/12/1997           1997        659.417        458.680        112.000            114.048                 2.4           2.062                  48.101                 0.000
     31/12/1998           1998        827.994        544.054        112.000            132.149                 1.7           1.277                   0.000               197.406
     31/12/1999           1999        566.186        358.910        112.000             99.054                 3.0           3.024                  61.255                 0.000
     31/12/2000           2000        588.510        374.668        112.000            118.891                 1.9           1.607                   0.000               214.172
     31/12/2001           2001        760.490        467.872        112.000            190.354                 8.5           4.489                  53.995                 0.000
     31/12/2002           2002        601.310        475.078        112.000             51.988                 0.6           1.081                   0.000               208.320
     31/12/2003           2003        679.553        483.356        112.000            129.785                 2.7           2.118                  55.985                 0.000
     31/12/2004           2004        982.960        745.996        112.000            136.425                 0.7           0.506                   0.000               201.429
     31/12/2005           2005        795.539        567.211        112.000            116.346                 1.3           1.100                  58.388                 0.000
     31/12/2006           2006        619.500        369.064        112.000             74.366                 1.7           2.244                   0.000               148.023
     31/12/2007           2007        926.102        683.270        112.000            219.698                 4.2           1.907                  55.054                 0.000
     31/12/2008           2008        794.702        509.720        112.000            136.366                 2.0           1.495                   0.000               208.458
     31/12/2009           2009        611.608        404.596        112.000             89.541                 1.1           1.212                  51.615                 0.000
     31/12/2010           2010        994.688        782.074        112.000            223.516                 4.7           2.103                   0.000               202.470
     31/12/2011           2011        510.786        375.668        112.000            100.432                 1.8           1.825                  39.163                 0.000
     31/12/2012           2012        619.490        386.080        112.000             47.970                 0.2           0.356                   0.000               140.549
     31/12/2013           2013        779.258        577.844        112.000            192.703                10.2           5.317                  67.878                 0.000
     31/12/2014           2014        662.412        523.494        112.000             44.992                 0.2           0.497                   0.000               199.649
     31/12/2015           2015        824.760        429.514        112.000            150.365                 1.0           0.671                  49.891                 0.000
     31/12/2016           2016        904.802        578.726        112.000            111.838                 1.1           1.002                   0.000               215.193
     31/12/2017           2017        621.748        406.912        112.000            123.929                 2.2           1.805                  56.366                 0.000
     31/12/2018           2018        951.214        619.990        112.000            179.725                 2.1           1.149                   0.000               228.843
     31/12/2019           2019        883.171        509.288        112.000            218.642                 4.4           1.999                  55.641                 0.000
